year,start_date,end_date,numberofsentences_altA,DFF_Before_meeting,DFEDTR,Sentence_1,Sentence_2,Sentence_3,Sentence_4,Sentence_5,Sentence_6,Sentence_7,Sentence_8,Sentence_9,Sentence_10
1974,1974-10-14,1974-10-15,2,10.01,No target in FRED,"(14) Alternative A contemplates a more rapid growth path for M1 than under alternative B. Alternative A To implement this policy, while taking account of THE FORTHCOMING TREASURY FINANCING AND OF developments in domestic and international financial markets, the Committee seeks to achieve bank reserve and money market conditions consistent with SUBSTANTIAL [DEL: moderate] growth in monetary aggregates over the months ahead.","","","","","","","","",""
1974,1974-11-19,1974-11-19,5,9.47,No target in FRED,"(9) Alternative A provides for the greater easing in money market conditions over the near term that would be needed if the Committee were to adopt higher longer-run targets for the monetary aggregates, indexed by a 6½ per cent growth rate for M1 .","Mortgage markets would ease at a more rapid pace under alternative A, since there would be a more substantial rebound in deposit inflows at thrift institutions as market interest rates dropped further.","While the prime loan rate could be expected to decline further under either alternative A or B, it would still probably remain high relative to market rates in the weeks ahead.","Banks may, however, show more interest in security acquisitions in the period ahead than they have most recently, particularly under alternative A but also to some extent under alternative B, to take advantage of the apparent opportunity for capital gains.","Alternative A To implement this policy, while taking account of [DEL: the forthcoming Treasury financing and of] developments in domestic and international financial markets, the Committee seeks to achieve bank reserve and money market conditions consistent with [DEL: resumption of moderate] SUBSTANTIAL growth in monetary aggregates over the months ahead.","","","","",""
1974,1974-12-16,1974-12-17,3,8.75,No target in FRED,"(12) Alternative A encompasses a higher 7¼ per cent annual rate of growth in M1 between now and mid-year.","-9- Market expectations of a further decline in the discount rate might begin to develop, but they would become much more pronounced if the funds rate were to drop as much as is implied under alternative A. (14) Net inflows of time and savings deposits (other than money market CD's) at banks are likely to continue to be relatively strong under each of the alternatives presented, with growth highest, of course, under the easiest alternative.","Alternative A To implement this policy, while taking account of developments in domestic and international financial markets, the Committee seeks to achieve bank reserve and money market conditions consistent with MORE RAPID [DEL: moderate] growth in monetary aggregates over the months ahead.","","","","","","",""
1975,1975-01-20,1975-01-21,8,6.95,No target in FRED,"For alternative A, however, it should be noted that the lower interest rates are not assumed to persist throughout the whole first half of the year, as will be explained below.","(8) Alternative A encompasses the 6 per cent longer-run annual rate of growth for M1 (over the seven-month November '74-June '75 period) that was preferred by the Committee at its last meeting, the achievement of which would now require a 6¾ per cent growth rate over the first half of this year.","(9) Interest rate declines under alternative A may begin to be reversed as spring progresses.","(10) The specifications of alternative B contemplate a smaller decline in the Federal funds rate over the next few weeks than under alternative A.","Because alternative B puts in place a lesser degree of monetary stimula- tion over the near-term, it would appear that any reversal of the interest rate decline would be delayed more than under alternative A. (13) The net inflow at banks of time and savings deposits (other than money market CD's) is expected to continue at about the pace of the fourth quarter of 1974 under alternative C. Greater -9- inflows of consumer-type time and savings deposits are assumed under alternatives A and B in the months immediately ahead, but under alternative A the rate of inflow is assumed to drop back somewhat in the spring as interest rates begin to rise.","Given the apparently weak mortgage demand, downward pressures on mortgage interest rates might be expected in the months ahead under all three alternatives, with declines in mortgage rates the largest, of course, under alternative A. Alternative A To implement this policy, while taking account of THE FORTHCOMING TREASURY FINANCING AND OF developments in domestic and international financial markets, the Committee seeks to achieve bank reserve and money market conditions consistent with [DEL: somewhat] more rapid growth in monetary aggregates over the months ahead than has occurred in recent months.","","","",""
1975,1975-02-19,1975-02-19,3,6.22,No target in FRED,"(9) Of the alternatives shown, alternative A encompasses the 6 per cent annual growth rate for M1 specified by the Committee at its last meeting in its longer-run targets for the first half of '75.","(10) Given the January shortfall in M1 and the sharply weaker economy now projected by the staff for the first and second quarters of this year, we would expect it to be necessary for the Federal funds rate to decline to around the middle of a 4-5 per cent range between now and mid-March if the growth in the aggregates as shown under alternative A were to be attained.","Alternative A To implement this policy, while taking account of the [DEL: forthcoming Treasury financing,] developments in domestic and international financial markets, [DEL: and the Board's action on reserve requirments,] the Committee seeks to achieve bank reserve and money market conditions consistent with more rapid growth in monetary aggregates over the months ahead than has occurred in recent months.","","","","","","",""
1975,1975-03-18,1975-03-18,6,5.5,No target in FRED,"(9) Of the three alternatives presented, alternative A most closely approximates the longer-run growth rates that accompanied the specifications chosen by the Committee at its last meeting.","(10) Under alternative A, a further decline in the Federal funds rate to around 5 per cent--the mid-point of the 4½-5½ per cent range shown--would be anticipated over the next few weeks.","(11) Consumer-type time and savings deposits at banks and thrift institutions would also be likely to expand somewhat more rapidly than in recent months under alternative A, given the further decline in market interest rates that is assumed.","The Federal funds rate range centers on 5¾ per cent. Growth rates in key monetary aggregates would, of course, be slower than under alternative A--as indexed by a 7 per cent annual growth rate in M1 over the seven month February-September period and a 5¼ per cent growth rate over the first nine months of the year.","(16) Turning to the behavior of M1 in the March-April period, expansion is indicated to be in a 4½-6½ per cent range, given prevailing money market conditions (typified by a 5¾ per cent funds rate) as called for by alternative B. Near-term growth, of course, would be somewhat more rapid under the easier money market conditions of alternative A and some- what less rapid under the tighter conditions of alternative C. Money growth rates, in general, are expected to accelerate by early summer when tax rebates are added to the public's cash and time deposit holdings (assuming prompt passage of a tax reduction bill).","Alternative A To implement this policy, while taking account of develop- ments in domestic and international financial markets, the Committee seeks to achieve bank reserve and money market conditions consistent with SUBSTANTIALLY more rapid growth in monetary aggregates over the months ahead than has occurred in recent months.","","","",""
1975,1975-04-14,1975-04-15,3,5.39,No target in FRED,"(12) Alternative A contemplates a Federal funds rate remaining in the 5¼-5½ per cent range most recently prevailing.","With some diminution in the expansion of interest-bearing deposits, growth in broader measures of money would be moderated, relative to alternative A. Bank credit expansion would be reduced somewhat, but with business and consumer loan demands expected to be weak at least over the next month or two, banks would still be in a position to participate heavily in Treasury financings.","Alternative A To implement this policy, while taking account of THE FORTHCOMING TREASURY FINANCING AND OF developments in domestic and international financial markets, the Committee seeks to achieve bank reserve and money market conditions consistent with more rapid growth in monetary aggregates over the months ahead than has occurred ON AVERAGE in recent months.","","","","","","",""
1975,1975-05-20,1975-05-20,3,5.13,No target in FRED,"Alternative A, which contemplates a near-term easing of money market conditions, and an 8 per cent rate of growth in M1 over the second and third quarters, would imply a considerable turn-around of interest rates later this year if growth in the aggregates over the 12-month period is to be kept at around the mid-points of the indicated longer-term ranges, assuming the GNP projection is correct.","-9- (14) Alternative A involves a further easing of money market conditions, which would likely be accompanied by further downward adjust- ments in market interest rates more generally.","Alternative A To implement this policy, while taking account of [DEL: the forth coming Treasury financing and of] developments in domestic and international financial markets, the Committee seeks to achieve bank reserve and money market conditions consistent with [DEL: somewhat] more rapid growth in monetary aggregates over the months ahead than has occurred on average in recent months.","","","","","","",""
1975,1975-06-16,1975-06-17,3,5.2,No target in FRED,"Maintenance over the weeks immediately ahead of prevailing money market conditions (as shown for the short-run specifications of alternative A) would probably not be inconsistent with the longer-run objectives of alternative B, but such an approach would appear to entail the need for a more substantial constraint on monetary growth later on, and hence a larger rise in the Federal funds rate later in the summer.","We have, therefore, assumed that maintenance of pre- vailing money market conditions over the short-run would be more con- sistent with adoption by the Committee of higher longer-run growth objectives for the monetary aggregates, as shown under alternative A. (12) Given prevailing money market conditions, M1 growth over the June-July period is expected to be in an 8-10 per cent annual rate range.","Alternative A To implement this policy, while taking account of developments in domestic and international financial markets, the Committee seeks to ACHIEVE BANK RESERVE AND MONEY MARKET CONDITIONS CONSISTENT WITH SUBSTANTIAL GROWTH IN MONETARY AGGREGATES OVER THE MONTHS AHEAD [DEL: maintain about the prevailing money market conditions over the period immediately ahead, provided that monetary aggregates generally appear to be growing within currently acceptable short run ranges of tolerance].","","","","","","",""
1975,1975-07-15,1975-07-15,3,5.92,No target in FRED,"Alternative A includes a growth rate for the June '75-June '76 period of 6¼ per cent from the current estimate of the June '75 base.","(15) Alternative A involves an easing of money market conditions over the near-term, which in effect reverses the recent tightening.","Alternative A To implement this policy, while taking account of THE FORTHCOMING TREASURY FINANCING AND OF developments in domestic and international financial markets, the Committee seeks to achieve SOMEWHAT EASIER bank reserve and money market conditions OVER THE PERIOD IMMEDIATELY AHEAD, [DEL: con sistent with moderate] PROVIDED THAT growth in monetary aggregates APPEARS TO BE SLOWING SUBSTANTIALLY [DEL: over the months ahead].","","","","","","",""
1975,1975-08-19,1975-08-19,5,6.15,No target in FRED,"Under alternative A, the average funds rate would remain close to recently prevailing levels for the time being, but -5a- Alternative Levels and Growth Rates for Key Monetary Aggregates M1 M2 M3 Alt.","(10) Alternative A is also consistent with a longer-run strategy that would allow growth in M1 near the top of the 5--7-1/2 per cent target range.","Under the unchanged money market conditions contemplated for alternative A, M1 growth in September is thought likely to rise to around a 7-1/2 per cent annual rate--resulting in an August-September average of about 6-1/4 per cent. M1 expansion might be held to an annual rate of about 5-1/2 per cent in September, giving an August-September average of 5-1/4 per cent. (12) Although we anticipate that interest rates would need to rise substantially as the year progresses under any of the longer- run scenarios described above, the unchanged money market conditions of alternative A would probably encourage general interest rate stability for a time.","Alternative A To implement this policy, while taking account of [DEL: the forthcoming Treasury and of] developments in domestic and international financial markets, the Committee seeks to main- tain about the prevailing bank reserve and money market conditions over the period immediately ahead, provided that [DEL: growth in] monetary aggregates [DEL: appears] APPEAR to be GROWING AT ABOUT THE RATES CURRENTLY EXPECTED [DEL: slowing substantially from the bulge during the second quarter].","","","","","",""
1975,1975-09-16,1975-09-16,6,6.41,No target in FRED,"Under alternative A --which assumes the same Federal funds rate range for the forthcoming intermeeting period as that adopted at the last meeting--M1 is expected to rise at an annual rate in the 6½-3½ per cent area over this and the next month on average.","(12) Given the large amount of Treasury borrowing that is being compressed into the next month or so, as well as the still sensitive -8- state of the municipal market, a significant rise in the Federal funds rate--for example, toward the upper end of the 5-3/4--7 per cent range of alternative A--would likely lead to substantial further yield advances.","(13) While alternative A basically assumes little or no change in the Federal funds rate between now and the next meeting, the staff believes the funds rate would have to rise later in the fall if the monetary aggregates are to remain on track with the Committee's longer- run objectives.","With this assumption, longer-run M2 growth is projected toward the low end of the Committee's announced target range under alternative A. -9- (14) Alternative C encompasses an immediate substantial tightening of the money market and is characterized by a Federal funds rate range for the intermeeting period of 6 -8 per cent, centering on 7¼ per cent.","Under alternative A, and to a certain extent under alternative B (to be discussed below), strains on the mortgage market would be more delayed and less severe.","Alternative ""money market"" proposals Alternative A To implement this policy, while taking account of developments in domestic and international financial markets, the Committee seeks to [DEL: achieve] MAINTAIN ABOUT THE PREVAILING bank reserve and money -12- market conditions OVER THE PERIOD IMMEDIATELY AHEAD, PROVIDED THAT MONETARY AGGREGATES APPEAR TO BE GROWING AT ABOUT THE RATES CURRENTLY EXPECTED [DEL: consistent with moderate growth in monetary aggregates over the months ahead].","","","",""
1975,1975-10-21,1975-10-21,4,5.77,No target in FRED,"-9- (14) A slight easing of the money market, as is contemplated by the mid-point of the 5-6 per cent Federal funds rate range shown for alternative A, might be accompanied by some further declines in market interest rates.","A larger decline in the funds rate to around the 5 per cent bottom of the alternative A range would of course trigger more substantial interest rate declines as the market's assessment of future monetary policy and possibly also the business outlook changes.","(15) The staff expects that interest rate declines under alternative A would facilitate attainment of higher longer-run growth rates for the monetary aggregates--typified by M1 growth over the next year in a 6-8 per cent range.","Alternative A To implement this policy, while taking account of developments in domestic and international financial markets, the Committee seeks to achieve bank reserve and money market conditions consistent with [DEL: moderate] SUBSTANTIAL growth in monetary aggregates over the months ahead.","","","","","",""
1975,1975-11-18,1975-11-18,3,5.31,No target in FRED,"(12) Alternative A contemplates a modest further decline in the Federal funds rate between now and the next Committee meeting, to the mid-point of a 4 -5 per cent range.","We would expect that such a reduction in the funds rate would have to be reversed at least by early next year in order to keep longer-run growth in M1 at around the mid-point of the 5-7½ per cent range, and that by Spring the funds rate would be around 7¾ per cent. (13) A reduction in the funds rate over the next few weeks of about the dimensions contemplated under alternative A would probably be accompanied by similar declines in other short-term rates and by some further decline in longer-term market rates.","-11- Alternative ""Money Market"" proposals Alternative A To implement this policy while taking account of develop- ments in domestic and international financial markets, the Committee seeks to achieve SOMEWHAT EASIER bank reserve and money market conditions OVER THE PERIOD IMMEDIATELY AHEAD, PROVIDED THAT MONETARY AGGREGATES DO NOT APPEAR TO BE GROWING AT RATES ABOVE THOSE CURRENTLY EXPECTED [DEL: consistent with moderate growth in monetary aggregates over teh months ahead].","","","","","","",""
1975,1975-12-16,1975-12-16,2,5.23,No target in FRED,"(11) Alternative A contemplates a decline in the Federal funds rate to the mid-point of a 4¼-5¼ per cent range.","-10- Alternative ""Money Market"" Proposals Alternative A To implement this policy, while taking [DEL: more than usual] account of developments in domestic and international financial markets, the Committee seeks to achieve SOMEWHAT EASIER bank reserve and money market conditions OVER THE PERIOD IMMEDIATELY AHEAD, PROVIDED THAT MONETARY AGGREGATES DO NOT APPEAR TO BE GROWING AT RATES ABOVE THOSE CURRENTLY EXPECTED [DEL: consistent with moderate growth in monetary aggregates over the months ahead].","","","","","","","",""
1976,1976-01-20,1976-01-20,6,4.79,No target in FRED,"C 1975 December 750.8 750.8 750.8 1177.2 1177.2 1177.2 515.1 515.1 515.1 1976 January 751.3 751.3 751.1 1181.5 1181.1 1180.6 513.8 513.7 513.6 February 757.5 757.1 756.5 1192.3 1191.0 1189.3 515.7 515.4 515.2 1975 QIV 745.9 745.9 745.9 1168.8 1168,8 1168.8 512.1 512.1 512.1 1976 QI 757.5 757.1 756.5 1192.4 1191.0 1189.3 516.2 515.9 515.7 QII 775.9 773.8 771.4 1224.3 1218.6 1213.3 526.0 524.8 523.6 QIII 793.0 788.9 785.1 1253.9 1243.7 1235.6 534.6 532.2 530.3 QIV 807.3 802.6 797.9 1279.1 1267.6 1256.7 540.7 538.2 536.0 Growth Rates Monthly: 1976 January 0.8 0.8 0.5 4.4 4.0 3.5 -3.0 -3.3 -3.5 February 9.9 9.3 8.6 11.0 10.1 8.8 4.4 4.0 3.7 Quarterly Averages: 1976 QI 6,2 6.0 5.7 8.1 7.6 7.0 3.2 3.0 2.8 QII 9.7 8.8 7.9 10.7 9.3 8.1 7.6 6.9 6.1 QIII 8.8 7.8 7.1 9.7 8.2 7.4 6.5 5.6 5.1 QIV 7.2 6.9 6.5 8.0 7.7 6.8 4.6 4.5 4.3 QIV '75-QII '76 8.0 7.5 6.8 9.5 8.5 7.6 5.4 5.0 4.5 QII '76-QIV '76 8.1 7.4 6.9 9.0 8.0 7.2 5.6 5.1 4.7 QII '75-QII '76 7.3 7.0 6.7 9.7 9.2 8.7 4.6 4.3 4.1 QIII '75-QIII '76 8.2 7.6 7.1 9.7 8.8 8.1 5.9 5.4 5.1 QIV '75-QIV '76 8.2 7.6 7.0 9.4 8.5 7.5 5.6 5.1 4.7 -6- (9) Alternative A encompasses higher growth rates for the monetary aggregates over the next year than alternative B, while alternative C presents lower rates.","The alternative A rates may be viewed as compensating, in an arithmetic sense, for the shortfall in M1 growth relative to expecta- tions in the fourth quarter.","That is to say, under alternative A the level of M1 in the third quarter 1976(using mid-points of the ranges) would be the same as that implied by a 6¼ per cent growth rate measured from the third quarter of 1975.","(12) Alternative A involves a decline in the Federal funds rate from the 4¾ per cent level recently prevailing to the mid-point of a 3½-4½ per cent range.","(14) The lower funds rate assumed under alternative A would be expected to persist until late spring or early summer.","Alternative ""Monetary Aggregate"" Proposals Alternative A To implement this policy, while taking account of developments in domestic and international financial markets, the Committee seeks to [DEL: maintain prevailing] ACHIEVE bank reserve and money market conditions CONSISTENT WITH SUBSTANTIAL GROWTH IN MONETARY AGGREGATES over the [DEL: period immediately] MONTHS [DEL: ahead, provided that monetary aggregates-appear-to-be-growing-at-about the rates currently-expected.] Alternative B To implement this policy, while taking account of developments in domestic and international financial markets, the Committee seeks to [DEL: maintain prevailing] ACHIEVE bank reserve and money market conditions CONSISTENT WITH MODERATE GROWTH IN MONETARY AGGREGATES over the [DEL: period immediately] MONTHS [DEL: ahead, provided that monetary aggregates appear to be growing at about the rate currently expected.] -12- Alternative C To implement this policy, while taking account of developments in domestic and international financial markets, the Committee seeks to [DEL: maintain prevailing] ACHIEVE bank reserve and money market conditions CONSISTENT WITH MODEST GROWTH IN MONETARY AGGREGATES over the [DEL: period immediately] MONTHS [DEL: ahead, provided that monetary aggregates appear to be growing at about the rates currently expected.] ""Money Market"" Proposal To implement this policy, while taking account of developments in domestic and international financial markets, the Committee seeks to maintain prevailing bank reserve and money market conditions over the period immediately ahead, provided that monetary aggregates appear to be growing at about the rates currently expected.","","","",""
1976,1976-02-17,1976-02-18,4,4.8,No target in FRED,"(12) Alternative A involves a decline in the Federal funds rate to the mid-point of a 3¾ to 4¾ per cent range, and slightly higher growth rates for M1 and M2 over the near-term than under alternative B.","If alternative A were adopted, the funds rate would probably have to start rising by early spring, and during the third and fourth quarters would reach levels somewhat above those resulting under alternative B.","However, reflecting the initially somewhat more accommodative reserve policy under alternative A, growth in the aggregates would be a little stronger in the first half of 1976 than under alternative B. Monetary growth would, of course, be somewhat less rapid in the second half.","Alternative ""money market"" proposals Alternative A To implement this policy, while taking account of developments in domestic and international financial markets, the Committee seeks to [DEL: maintain prevailing] ACHIEVE SOMEWHAT EASIER bank reserve and money -10- market conditions over the period immediately ahead, provided that monetary aggregates appear to be growing at about the rates currently expected.","","","","","",""
1976,1976-03-15,1976-03-16,4,4.81,No target in FRED,"Through the summer months, alternative A would encourage somewhat more growth in M1 and M2, and alternative C less.","from QIV '75 to QIV '76 at rates near the mid-points of their respective one- year ranges, the near-term declines in interest rates anticipated under alternative A would be short-lived, and rates would begin rising, perhaps by late spring.","We have assumed that under alternative A the funds rate would average about 6¾ per cent in the fourth quarter of 1976.","Alternative ""money market"" proposals Alternative A To implement this policy, while taking account of developments in domestic and international financial markets, the Committee seeks to [DEL: maintain prevailing] ACHIEVE SOMEWHAT EASIER bank reserve and money -10- market conditions over the period immediately ahead, provided that monetary aggregates appear to be growing at about the rates cur- rently expected.","","","","","",""
1976,1976-04-20,1976-04-20,2,4.74,No target in FRED,"By early 1977, the funds rate might be around 7¾ per cent. (13) Under alternative A, the mid-point of the longer-run growth target for M1 is 7 per cent. Alternative ""Monetary Aggregates"" Proposals Alternative A To implement this policy, while taking account of developments in domestic AND INTERNATIONAL financial markets, [DEL: and the sensitive state of foreign exchange markets,] the Committee seeks to achieve bank reserve and money market conditions consistent with [DEL: moderate] SUBSTANTIAL growth in monetary aggregates over the period ahead.","","","","","","","","",""
1976,1976-05-18,1976-05-18,3,5.36,No target in FRED,"C Ranges for May-June M1 6-10 5¼-9¼ 4½-8½ M2 7½-11½ 7-11 5½-9½ Federal funds rate 4¼-5¼ 4¾-5¾ 5¼-6¼ (intermeeting range) (9) Alternative B assumes a Federal funds rate range centered on 5-1/4 per cent, the most recent Desk objective, while alternative A assumes some easing of the money market and alternative C some further tightening.","A considerably higher ultimate level for the funds rate is envisaged under alternative A, since it would be necessary to offset later the effects of near-term easing in reserve conditions contemplated by that alternative.","Alternative ""Money Market"" Proposals Alternative A To implement this policy, while taking account of develop- ments in domestic and international financial markets, the Committee seeks to achieve SOMEWHAT EASIER bank reserve and money market condi- tions consistent with moderate growth in monetary aggregates over the -11- period IMMEDIATELY ahead, PROVIDED THAT MONETARY AGGREGATES APPEAR TO BE GROWING AT ABOUT THE RATES CURRENTLY EXPECTED.","","","","","","",""
1976,1976-06-22,1976-06-22,3,5.49,No target in FRED,"-9- (14) Alternative A assumes an easing in the Federal funds rate to the mid-point of a 4½-5½ per cent range between now and the next Committee meeting.","However, if the FOMC also wished to constrain longer-run M1 growth to 5¼ per cent, alternative A would entail a more pronounced slowing in the rate of expansion of M1 in early 1977 and a sharper rise in interest rates in late 1976 and early 1977 than would the other two alternatives.","Alternative ""Money Market"" Proposals Alternative A To implement this policy, while taking account of develop- ments in domestic and international financial markets, the Committee seeks to achieve SOMEWHAT EASIER bank reserve and money market condi- tions [DEL: consistent with moderate growth in monetary aggregates] over the -11- period IMMEDIATELY ahead, PROVIDED THAT MONETARY AGGREGATES APPEAR TO BE GROWING AT ABOUT THE RATES CURRENTLY EXPECTED.","","","","","","",""
1976,1976-07-19,1976-07-20,3,5.28,No target in FRED,"(15) Alternative A contemplates more rapid growth in the monetary aggregates over QII '76-QII '77--including a 6-3/4 per cent growth rate for M1 --and some near-term easing of money market conditions, with the funds rate range centering on 4-3/4 per cent.","Under alternative A, inflows of other deposits should reduce the need for banks to rely on such sources of funds over the balance of the year.","Alternative ""Monetary Aggregates"" Proposals Alternative A To implement this policy, while taking account of developments in domestic and international financial markets, the Committee seeks to achieve bank reserve and money market conditions con- sistent with [DEL: moderate] SUBSTANTIAL growth in monetary aggregates over the period ahead.","","","","","","",""
1976,1976-08-17,1976-08-17,3,5.38,No target in FRED,"Alternative A--which involves an easing of the money market over the next few weeks--encompasses more monetary ease in the second half of this year than the other two alterna- tives, and more monetary restraint in the first half of next year.","(15) Alternative A assumes an easing of money market conditions between now and the next meeting--with the funds rate dropping to the mid- point of a 4-1/4 to 5-1/4 per cent range.","Alternative ""Money Market"" Proposals Alternative A To implement this policy, while taking account of develop- ments in domestic and international financial markets, the Committee seeks to achieve SOMEWHAT EASIER bank reserve and money market condi- tions [DEL: consistent with moderate growth in monetary aggregates] over the period IMMEDIATELY ahead, PROVIDED THAT MONETARY AGGREGATES APPEAR TO BE GROWING AT ABOUT THE RATES CURRENTLY EXPECTED.","","","","","","",""
1976,1976-09-21,1976-09-21,3,5.26,No target in FRED,"(11) Alternative A involves an easing of the money market, with the funds rate range centered on 4¾ per cent. (12) The easing in short-term rates under alternative A would likely be accompanied by a slightly stronger expansion in M1 over the short-run--with the M1 growth range estimated to be 4 -8 per cent for the September-October period.","-10- Alternative ""Money Market"" Proposals Alternative A To implement this policy, while taking account of develop- ments in domestic and international financial markets, the Com- mittee seeks to [DEL: maintain prevailing] ACHIEVE SOMEWHAT EASIER bank reserve and money market conditions over the period immediately ahead, provided that monetary aggregates appear to be growing at about the rates currently expected.","","","","","","","",""
1976,1976-10-19,1976-10-19,3,5.03,No target in FRED,"Alternative A-- which contemplates little change in interest rates over the next year-- contains higher ranges for all of the monetary aggregates.1/ (10) Shorter-run specifications for the monetary aggregates and the Federal funds rate thought to be consistent with the proposed longer-run alternatives are summarized below.","(16) Alternative A encompasses an easing of the money market between now and the next Committee meeting.","Alternative ""Monetary Aggregates"" Proposals Alternative A To implement this policy, while taking account of developments in domestic and international financial markets, the Committee seeks to achieve bank reserve and money market conditions consistent with [DEL: moderate] SUBSTANTIAL growth in monetary aggregates over the period ahead.","","","","","","",""
1976,1976-11-16,1976-11-16,6,5.09,No target in FRED,"C 1976 October November December 787.9 794.5 801.3 787.9 794.1 800.3 787.9 793.8 799.4 1273.7 1286.6 1299.8 1273.7 1286.0 1298.2 1273.7 1285.5 1296.7 528.8 533.0 535.0 528.8 532.7 534.2 1976 QIII QIV 776.3 776.3 776.3 1248.0 1248.0 1248.0 794.6 794.1 793.7 1286.7 1286.0 1285.3 523.2 523.2 523.2 532.3 531.9 531.7 813.7 831.6 846.7 1977 QI QII QIII Growth Rates Monthly: 1976 November December Quarterly Averages: 1976 QIV 1977 QI QII QIII Semi-annual QIII '76-QI '77 QI '77-QIII '77 Annual QIII '76-QIII '77 10.1 10.3 9.6 8.8 7.3 9.6 8.1 812.1 829.8 846.5 9.4 9.4 810.8 828.5 846.8 1324.7 1358.2 1385.5 12.2 12.3 12.4 11.8 10.1 8.0 12.3 9.2 9.2 9.1 8.7 8.1 9.2 8.5 1321.7 1354.0 1384.1 11.6 11.4 12.2 11.1 9.8 8.9 11.8 9.4 1319.2 1352.8 1386.5 11.1 10.5 12.0 10.6 10.2 10.0 11.4 10.2 540.9 553.0 564.5 9.5 4.5 7.0 6.5 8.9 8.3 6.8 8.7 539.9 552.0 564.5 8.9 3.4 6.7 6.0 9.0 9.1 6.4 9.1 539.2 551.2 564.6 8.4 2.9 6.5 5.6 8.9 9.7 6.1 9.4 9.1 9.0 9.1 11.0 10.9 528.8 532.5 533.8 11.1 7.9 7.9 7.9 (8) Alternative A involves an easing in money market conditions over the next few weeks--with the funds rate moving down to the mid-point of a 4-5 per cent range.","On balance, money market conditions would be somewhat easier and monetary growth rates somewhat more rapid over the next six months under alternative A than under alternatives B or C.","On the other hand, alternative A would involve greater monetary restraint in the second six months of the QIII '76-QIII '77 period.","Moreover, because alternative B--in contrast to alternative A-- does not involve any additional stimulation over the near term, not as much monetary restraint would be required in the spring and summer of next year to attain a one-year growth rate of 5½ per cent in M1.","As a result, the funds rate would rise less than under alternative A. (10) Alternative C involves a tightening in the money market over the next few weeks, with the funds rate rising to around 5½ per cent by the time of the next Committee meeting.","Alternative ""Money Market"" Proposals Alternative A To implement this policy, while taking account of developments in domestic and international financial markets, the Committee seeks to achieve SOMEWHAT EASIER bank reserve and money market conditions -11- {DEL: consistent with moderate growth in monetary aggregates] over the period IMMEDIATELY ahead, PROVIDED THAT MONETARY AGGREGATES APPEAR TO BE GROWING AT ABOUT THE RATES CURRENTLY EXPECTED.","","","",""
1976,1976-12-20,1976-12-21,2,4.56,No target in FRED,"(11) Alternative A involves an easing of the money market between now and the next Committee meeting, with the funds rate dropping to the mid-point of a 3¾-4½ per cent range.","Alternative ""Money Market"" Proposals Alternative A To implement this policy, while taking account of developments in domestic and international financial markets, the Committee seeks to achieve SOMEWHAT EASIER bank reserve and money market conditions [DEL: consistent with moderate growth in monetary aggregates] -10- over the period IMMEDIATELY ahead, PROVIDED THAT MONETARY AGGREGATES APPEAR TO BE GROWING AT ABOUT THE RATES CURRENTLY EXPECTED.","","","","","","","",""
1977,1977-01-17,1977-01-18,3,4.6,No target in FRED,"(13) Alternative A encompasses a reduction in the Federal funds rate to the mid-point of a 3-4 per cent range over the next few weeks.","(14) Over the longer-run, under alternative A, we would not expect a very substantial rise in interest rates to develop, however, since the higher longer-run growth in the monetary aggregates embodied in that alternative would be more accommodative of money and credit demands.","Alternative ""Monetary Aggregates"" Proposals Alternative A To implement this policy, while taking account of developments in domestic and international financial markets, the Committee seeks to [DEL: maintain prevailing] ACHIEVE bank reserve and money market condi- tions CONSISTENT WITH SUBSTANTIAL GROWTH IN MONETARY AGGREGATES over the period [DEL: immediately] ahead [DEL:, provided that monetary aggregates appear to be growing at about the rates currently expected].","","","","","","",""
1977,1977-02-15,1977-02-15,3,4.73,No target in FRED,"(15) The near-term easing of the money market encompassed by alternative A would, of course, lead to declines in interest rates over the next few weeks and higher growth rates in the monetary aggregates.","-9- (16) With monetary growth rates more rapid over the next few months than under the alternatives discussed above, alternative A would imply more restraint later in the year if growth in the aggregates is to be constrained within current longer-run ranges.","Alternative ""Money Market"" Proposals Alternative A To implement this policy, while taking account of developments in domestic and international financial markets, the Committee seeks to achieve SOMEWHAT EASIER bank reserve and money market conditions [DEL: consistent with moderate growth monetary aggregates] over the period -11- IMMEDIATELY ahead, PROVIDED THAT MONETARY AGGREGATES APPEAR TO BE GROWING AT ABOUT THE RATES CURRENTLY EXPECTED.","","","","","","",""
1977,1977-03-15,1977-03-15,3,4.67,No target in FRED,"A decline in the funds rate to the midpoint of the 3 to 4 per cent alternative A range could be accompanied by relatively modest reductions in other interest rates, if market participants were to view such a decline as temporary in light of the recent indications of strengthening economic activity.","(12) The decline in the funds rate under alternative A would probably have to be reversed shortly if the Committee is to attain growth rates in the aggregates within its longer-run ranges.","The tightening of the money market under alternative C would introduce monetary restraint earlier in the year and hence would require less of a rise in interest rates by year-end than either alternative A or B. Directive language (13) Given below are alternatives for the operational paragraphs of the directive.","","","","","","",""
1977,1977-04-19,1977-04-19,2,4.76,No target in FRED,"(15) Alternative A contemplates an easing of money market conditions between now and the next Committee meeting, with the funds -11- rate dropping to the mid-point of a 3¾-4¾ per cent range.","In view of the apparent strength of the economy, interest rates may be expected to rise even with the more rapid longer-run growth in the monetary aggregates encompassed by alternative A.","","","","","","","",""
