year,start_date,end_date,numberofsentences_altA,DFF_Before_meeting,DFEDTR,Sentence_1,Sentence_2,Sentence_3,Sentence_4,Sentence_5,Sentence_6,Sentence_7,Sentence_8,Sentence_9,Sentence_10,Sentence_11,Sentence_12
1976,1976-06-22,1976-06-22,3,5.49,No target in FRED,"C Ranges for June-July M1 4½-8½ 4-8 3½-7½ M2 7-11 6½-10½ 5½-9½ Federal funds rate 4½-5½ 5-6 5½-6½ (intermeeting range) (8) If the Federal funds rate between now and the next meeting of the Committee remains around the recently prevailing 5½ per cent--the mid-point of the alternative B range--the staff would expect that the annual rate of M1 growth may be in a 4-8 per cent range over the June-July period.","Thus, for the June-July period, M2 growth may be in a 6½-10½ per cent annual rate range under alternative B. (10) In the near-term, if the money market remains stable, short- and long-term interest rates are likely to change little.","As may be seen from appendix Table II, under alternative B the staff would expect a Federal funds rate of around 8 per cent by early next year, given a growth rate in M1 from QI '76 to QI '77 of 5¾ per cent. (12) The specifications of alternative C include a tightening of the funds rate over the next few weeks to the mid-point of a 5½-6½ per cent range.","However, such a near-term tightening of the money market would tend to moderate the need for restraint as the year progresses, as compared with alternative B.","The funds rate under alternative C would be expected to peak at around 7¼ per cent by late this year, again assuming a 5¾ per cent growth rate in M1 over the QI '76-QI '77 period, (13) Growth in M1 in the June-July period may be in a 3½-7½ per cent, annual rate, range under alternative C, only a little less than under alternative B. Alternative B To implement this policy, while taking account of develop- ments in domestic and international financial markets, the Committee seeks to [DEL: achieve] MAINTAIN PREVAILING bank reserve and money market conditions [DEL: consistent with moderate growth in monetary aggregates] over the period IMMEDIATELY ahead, PROVIDED THAT MONETARY AGGREGATES APPEAR TO BE GROWING AT ABOUT THE RATES CURRENTLY EXPECTED.","","","","","","",""
1976,1976-07-19,1976-07-20,3,5.28,No target in FRED,"C 1976 June July August 1976 QII QIII QIV 770.8 776.9 783.6 766.5 783.6 803.6 770.8 776.9 783.2 766.5 783,1 800.6 770.8 776.9 782.5 766.5 782.4 798.2 1229.0 1240.1 1252.8 1220.3 1252.6 1288.4 1229.0 1240.1 1252.0 1220.3 1251.6 1282.0 1229.0 1240.1 1250.9 1220.3 1250.4 1277.1 522.3 523.5 528.4 518.3 527,7 537,7 522.3 523.5 528.1 518.3 527.5 536.2 1977 QI QII 822.7 817.2 813.2 1320.7 1308.8 1301.2 841.7 834.5 829.4 1352.4 1336.7 1327.3 546.1 543.0 540.8 555.3 551.2 548.7 reamth Rates Monthly: 1976 July August Quarterly Averages: 1976 QIII QIV 1977 QI QII Semi-annual QII '76-QIV '76 QIV '76-QII '77 Annual QI '76-Q1 '77 QII '76-QII '77 522.3 523.5 527.8 518.3 527.1 534.7 9.5 8.6 9.5 10.3 8.9 10.2 2.8 10.5 10.8 12.3 10.6 11.4 10.0 9.6 11.2 9.9 10.8 10.8 8.7 8.9 8.3 8.5 8.9 8.5 8.5 8.9 10.8 11.5 10.3 9.7 8.4 8.5 10.1 8.5 9.8 9.5 8.3 8.1 7,5 8.0 8.3 7.8 8.0 8.2 10.8 10.5 9.9 8.5 7.5 8.0 9.3 7.9 9.2 8.8 2.8 11.2 7.3 7.6 6.2 6,7 7.5 6.5 6.0 7.1 7.1 6.6 5.1 6.0 6.9 5.6 5.4 6.3 6.8 5.8 4.6 5.8 6.3 5.2 5.0 5.9 -6- (9) Alternatives A and C call for longer-run M1 ranges one percentage point higher and lower, respectively, than that shown under alternative B. Alternative C would compensate for the second-quarter overshoot in M 1 , in that M1 would be expected to reach roughly the same level in the first quarter of 1977 as that implied by a 5¾ per cent growth rate measured from the first quarter of 1976.","C 1/ Ranges for July-August M1 5 to 9 4½ to 8½ 4 to 8 M2 9 to 13 8 to 12 7½ to 11½ Federal funds rate 4¼ to 5¼ 4¾ to 5¾ 5¼ to 6¼ (intermeeting period) (11) Alternative B assumes a Federal funds rate range over the next four weeks centered on 5¼ per cent, the Desk's most recent objective; alternatives A and C assume some easing and some tightening, respectively.","(12) Under alternative B, the annual rate of growth of M1 in the July-August period is expected to be in a 4½ to 8½ range.","Given the projection for nominal GNP, if growth in M1 over the QII '76-QII '77 period is to be constrained to 5¾ per cent--the mid-point of the alternative B longer-run growth range--it is likely that short-term interest rates would have to begin moving up later in the summer.","The alternative B projection assumes an upward adjustment in Regulation Q ceilings in early 1977.","Under alternative B, and especially under C, banks would be likely to reduce their acquisitions of Treasury securities and to borrow in CD and Eurodollar markets.","Alternative B To implement this policy, while taking account of developments in domestic and international financial markets, the Committee seeks to achieve bank reserve and money market conditions con- sistent with moderate growth in monetary aggregates over the period ahead.","","","","",""
1976,1976-08-17,1976-08-17,3,5.38,No target in FRED,"Alternative B lies in between.","C M1 growth 2nd half '76 5¾ 5¾ 5¼ 1st half '77 5½ 5¾ 6 Average level of funds rate 2nd half '76 5-3/8 5½ 6-1/8 1st half '77 7¼ 6-7/8 6¾ (9) The intermeeting range for the Federal funds rate under alternative B is centered on 5¾ per cent, the rate recently prevailing.","By the second quarter of 1977, we would expect the funds rate to average around 7¼ per cent. (10) Under alternative B, M1 is expected to expand in a 4-8 per cent, annual rate, range over the August-September period and M2 in a 7½-11½ per cent range.","If the reversal were begun in early fall, the funds rate might peak out at around 7-1/2 per cent by the second quarter of 1977, a somewhat higher rate than under alternative B. Alternative B To implement this policy, while taking account of develop- ments in domestic and international financial markets, the Committee seeks to [DEL: achieve] MAINTAIN PREVAILING bank reserve and money market conditions [DEL: consistent with moderate growth in monetary aggregates] over the period IMMEDIATELY ahead, PROVIDED THAT MONETARY AGGREGATES APPEAR TO BE GROWING AT ABOUT THE RATES CURRENTLY EXPECTED.","","","","","","","",""
1976,1976-09-21,1976-09-21,3,5.26,No target in FRED,"Under alternative B, given prevailing money market conditions--as indexed by a Federal funds rate around 5¼ per cent-- M1 will probably grow in a 4-8 per cent annual rate range.","(8) M2 may rise in a 9-13 per cent annual rate range under alternative B over the September-October period.","Alternative B To implement this policy, while taking account of develop- ments in domestic and international financial markets, the Com- mittee seeks to maintain prevailing bank reserve and money market conditions over the period immediately ahead, provided that mone- tary aggregates appear to be growing at about the rates currently expected.","","","","","","","","",""
1976,1976-10-19,1976-10-19,3,5.03,No target in FRED,"Alternative B continues the current growth range for M1, but involves somewhat higher ranges for M2 and M3 .","C Ranges for Oct.-Nov. M1 5-9 4½-8½ 4-8 M2 10-14 9-13 8-12 Federal funds rate 4-5 4½-5½ 5-6 (Inter-meeting period) (11) Alternative B, which has a Federal funds rate range centered on 5 per cent, assumes that money market conditions remain unchanged between now and the next Committee meeting.","(12) The staff would still expect interest rates to rise over the longer run under alternative B, given the projected pace of economic activity.","(13) Over the next few weeks, interest rates would be likely to show little net change under alternative B. Alternative B To implement this policy, while taking account of developments in domestic and international financial markets, the Committee seeks to achieve bank reserve and money market conditions consistent with moderate growth in monetary aggregates over the period ahead.","","","","","","","",""
1976,1976-11-16,1976-11-16,6,5.09,No target in FRED,"(9) Alternative B involves maintenance of the Federal funds rate at around 5 per cent over the next few weeks.","Moreover, because alternative B--in contrast to alternative A-- does not involve any additional stimulation over the near term, not as much monetary restraint would be required in the spring and summer of next year to attain a one-year growth rate of 5½ per cent in M1.","Assuming unchanged money market conditions over the next few weeks, as under alternative B, M1 may expand in a 2½-6½ per cent annual rate range during the 2-month period.","With the unchanged money market conditions of alternative B, growth for M2 during November-December may be in a 9½-13½ per cent annual rate range-- the mid-point of which is above the upper limit of the Committee's longer- run range.","Alternative B To implement this policy, while taking account of developments in domestic and international financial markets, the Committee seeks to [DEL: achieve] MAINTAIN PREVAILING bank reserve and money market condi- tions [DEL: consistent with moderate growth in monetary aggregates] over the period IMMEDIATELY ahead, PROVIDED THAT MONETARY AGGREGATES APPEAR TO BE GROWING AT ABOUT THE RATES CURRENTLY EXPECTED.","","","","","","",""
1976,1976-12-20,1976-12-21,2,4.56,No target in FRED,"C Ranges for December-January M1 3-7 2½-6½ 2-6 M2 9½-13½ 9-13 8½-12½ Federal funds rate 3¾-4½ 4¼-5 4¾-5½ (Intermeeting period) (7) Alternative B assumes that prevailing money market conditions--indexed by a Federal funds rate around 4-5/8 per cent-- would be maintained between now and the next Committee meeting.","(12) An easing of the money market would generate only slightly more growth in M1 and M2 over the December-January period than under alternative B.","As a result, to contain growth within desired bounds interest rates under this alternative may have to rise to somewhat higher levels than under alternative B and the rise may begin sooner.","Alternative B To implement this policy, while taking account of developments in domestic and international financial markets, the Committee seeks to [DEL: achieve] MAINTAIN PREVAILING bank reserve and money market conditions [DEL: consistent with moderate growth in monetary aggregates] over the period IMMEDIATELY ahead, PROVIDED THAT MONETARY AGGREGATES APPEAR TO BE GROWING AT ABOUT THE RATES CURRENTLY EXPECTED.","","","","","","","",""
1977,1977-01-17,1977-01-18,3,4.6,No target in FRED,"Alternative B continues the same ranges currently in place except for the bank credit proxy for which the range is higher than the present 5-8 per cent. C 1976 December 1977 January February 803.4 809.6 815.2 803.4 809.6 814.7 803.4 809.6 814.3 1300.1 1312.4 1324.0 1300.1 1312.4 1323.4 1300.1 1312.4 1322.9 539.2 542.3 545.2 539.2 542.3 544.8 539.2 542.3 544.5 1976 QIII QIV 1977 QI QII QIII QIV Growth Rates Monthly: 1977 January February Quarterly Averages: 1976 QIV 1977 QI QIIQII QIII QIV Semi-annual QIV '76-QII '77 QII '77-QIV '77 Annual QII '76-QIV '77 QIII '76-QIII '77 QIV '76-QIV '77 776.3 776.3 776.3 1247.9 1247.9 1247.9 795.1 795.1 795.1 1286.4 1286.4 1286.4 815.4 834.5 852.7 871.1 9.3 8.3 10.2 9.4 8.7 8.6 9.9 8.8 9.8 9.8 9.6 815.1 832.7 849.2 864.9 814.7 830.8 845.0 858.0 9.3 7.0 9.7 10.1 8.6 7.9 7.4 9.5 7.7 9.1 9,4 8.8 9,7 9.9 7.9 6.8 6.2 9.0 6.5 8,4 8.8 7.9 1324.2 1361.4 1394.8 1426.8 11.4 10.6 12.3 11.8 11.2 9.8 9.2 11.7 9.6 11.5 11.8 10.9 1323.8 1358.2 1388.2 1415.4 11.4 10.1 12.3 11.6 10.4 8.8 7.8 11.2 8.4 10.7 11.2 10.0 1323.2 1354.3 1379.5 1400.7 11.4 9.6 12.3 11.4 9.4 7.4 6.1 10.6 6.9 9.8 10,5 8.9 523.2 523.2 523.2 534.1 534.1 534,1 545.5 558.6 573.4 584.6 6.9 6.4 8.3 8.5 9.6 10.6 7.8 9.2 9.3 9.4 9.6 9.5 545.4 557.8 571.7 581.5 545.1 556.7 569.5 577.6 6.9 5.5 8.3 8.5 9.1 10.0 6.9 8.9 8.5 8.9 9.3 8.9 6.9 4.9 8.3 8.2 8.5 9.2 5.7 8.5 7.5 8.3 8.8 8.1 (8) Under alternative B, with a Federal funds rate centered within a 4¼-5 per cent range, we would expect M1 to grow in a 3 -7 per cent annual rate range over the January-February period.","(9) Growth in M2 over the January-February period may be in a 7 -11 per cent annual rate range under alternative B. (11) To maintain growth in monetary aggregates over the QIV '76-QIV '77 period within the longer-run ranges proposed under alternative B, the staff expects that the Federal funds rate would have to begin rising by early spring, and would reach a 1977 peak of around 6½ per cent in the fourth quarter of the year.","Alternative B To implement this policy, while taking account of developments in domestic and international financial markets, the Committee seeks to [DEL: maintain prevailing] ACHIEVE bank reserve and money market condi- tions CONSISTENT WITH MODERATE GROWTH IN MONETARY AGGREGATES over the period [DEL: immediately] ahead [DEL: , provided that monetary aggregates appear to be growing at about the rates currently expected].","The above tabulation indicates that the proposed alternative B implies levels of M1 in the latter half of 1977 little different from those implicit in the current longer-run range based on the third quarter of 1976.","Because of the more rapid growth in M1 now expected in the first half of 1977, the third quarter 1977 level under alternative B is slightly higher (.","For M2, however, the proposed alternative B implies substantially higher levels in the latter half of 1977 than are implied by the mid-point Terminal Quarters QIII '77 QIV '77 QIII '77 QIV '77 I-2 of the current growth range based on QIII '76.","By the third quarter, M 2 would be about 1½ per cent, and by the fourth quarter about 1 per cent, higher under proposed alternative B.","","","","",""
1977,1977-02-15,1977-02-15,3,4.73,No target in FRED,"C Ranges for February-March M1 3½-7½ 3-7 2½-6½ M2 7½-11½ 7-11 6½-10½ Federal funds rate 3¾-4½ 4¼-5 4¾-5½ (intermeeting period) (7) Growth in M1 over the February-March period is expected to be in a 3-7 per cent annual rate range, assuming a Federal funds rate centered in a 4¼-5 per cent range, as in alternative B. (8) M2 expansion under alternative B may be in a 7-11 per cent annual rate range over the February-March period.","(9) M1 and M2 under alternative B may be expected to rise at annual rates of about 5½ and 10 per cent, respectively, in the first quarter.","Under alternative B, the staff would expect the Federal funds rate to begin rising in the spring and reach around 6½ per cent by the fourth quarter of this year.","(11) Interest rates are expected to show little net change over the next few weeks, though, given the specifications of alternative B. (14) The tightening of the money market and slower near-term growth in nonborrowed reserves under alternative C would also tend to hold down expansion of the monetary aggregates over the February-March period as compared with alternative B.","However, alternative C would require a more rapid growth in the aggregates than alternative B in the second half of 1977 to attain the longer-run, QIV '76-QIV '77 ranges for the aggregates adopted by the FOMC.","Thus, monetary policy would have to be more accommodative in the latter part of 1977, and the Federal funds rate would not be likely to rise as high as under alternative B. Alternative B To implement this policy, while taking account of developments in domestic and international financial markets, the Committee seeks to [DEL: achieve] MAINTAIN PREVAILING bank reserve and money market condi- tions [DEL: consistent with moderate growth in monetary aggregates] over the period IMMEDIATELY ahead, PROVIDED THAT MONETARY AGGREGATES APPEAR TO BE GROWING AT ABOUT THE RATES CURRENTLY EXPECTED.","","","","","",""
1977,1977-03-15,1977-03-15,3,4.67,No target in FRED,"C Ranges for March-April M1 5½-9½ 5-9 4½-8½ M2 7½-11½ 7-11 6½-10½ Federal funds rate 3¾-4½ 4¼-5 4¾-5½ (inter-meeting period) (7) Assuming the Federal funds rate remains around 4-5/8 per cent--the midpoint of the alternative B range--we expect M1 growth in the March-April period to accelerate and be at an annual rate in a 5 to 9 per cent range.","The easing of the money market would generate more rapid growth in the aggregates over the next few months than under alternative B, and higher interest rates would be required later in the year to restrain growth.","","","","","","","","","",""
1977,1977-04-19,1977-04-19,2,4.76,No target in FRED,"C Current M1 5½-7½ 4½-6½ 3½-5½ 4½-6½ M2 8-11 6½-9½ 5½-8½ 7-10 M 3 9-12 7½-10½ 6-9 8½-11½ Bank credit proxy 8½-11½ 7½-10½ 7-10 7-10 (7) Alternative B encompasses a one-year growth rate for M1 of 4½-6½ per cent, the same range as is currently in place.","C Ranges for April-May M1 6½-10½ 6-10 5½-9½ M2 8½-12½ 8-12 7½-11½ Federal funds rate 3¾-4¾ 4¼-5¼ 4¾-5¾ (intermeeting period) (9) Under alternative B (as well as the other two alternatives), growth in M1 is expected to be relatively sizable in the April-May period, reflecting the large increase in M1 that is apparently under way in April.","(10) M2 growth under alternative B is expected to be in an 8-12 per cent annual rate range during the April-May period, and to expand at about a 9¼ per cent annual rate from the first to second quarter.","With demands for money also anticipated to be rather substantial, interest rates, particularly short-term rates, are likely to rise substantially in the second half of the year if growth in the monetary aggregates is to be maintained around the mid-points of the longer-run ranges shown for alternative B.","As shown in appendix III, the staff expects the funds rate under alternative B to average around 4-7/8 per cent in the current quarter, to rise to 5½ per cent in the third, and to reach about 6½ per cent by the first quarter of 1978.","Such a move would be accompanied by somewhat greater growth in the monetary aggregates than under alternative B over the April-May period.","Of the three alternatives presented, alternative B is closest to the current longer-run path.","","","","",""
1977,1977-05-17,1977-05-17,2,5.38,No target in FRED,"A growth range of 1 to 5 per cent for the May-June period is projected under alternative B, assuming the Federal funds rate remains around 5¼ per cent--the mid- point of a 4¾-5¾ per cent range.","(9) Under alternative B, we would expect M2 to expand in a 3½-7½ per cent annual rate range in the May-June period.","By the first quarter of 1978, the staff anticipates a funds rate of around 7 per cent under alternative B, if M1 growth is to be near the mid-point of the Committee's 4 -6 per cent range for the QI'77-QI'78 -9- period.","This may be a accompanied by growth in M1 in the May-June period at an annual rate in a range of ½-4½ per cent--about ½ point slower than under alternative B.","","","","","","","",""
1977,1977-06-21,1977-06-21,2,5.39,No target in FRED,"C Ranges for June-July M-1 3½ to 7½ 3 to 7 2½ to 6½ M-2 6½ to 10½ 6 to 10 5½ to 9½ Federal funds rate 4½ to 5¼ 5 to 5¾ 5½ to 6¼ (Intermeeting period) (7) Assuming the Federal funds rate remains around the 5-3/8 per cent mid-point of the alternative B range, the staff expects M-1 growth in the June-July period to strengthen to an annual rate in the range of 3 to 7 per cent. Available weekly data suggest that M-1 growth will remain relatively slow in June.","C 1977 May 829.9 829.9 829.9 1351.0 1351.0 1351.0 545.5 545.5 545.5 June 836.0 836.0 836.0 1361.9 1361.9 1361.9 550.6 550.6 550.6 July 842.5 842.2 841.7 1373.3 1372.6 1371.7 553.8 553.6 553.4 1977 QI 813.8 813.8 813.8 1321.3 1321.3 1321.3 541.1 541.1 541.1 QII 830.7 830.7 830.7 1351.9 1351.9 1351.9 547.4 547.4 547.4 QIII 848.7 847.7 846.6 1384.3 1382.3 1380.4 557.5 556.9 556.3 QIV 867.1 865.9 864.8 1414.8 1412.0 1409.8 569.5 568.7 568.1 1978 QI 887.2 886.8 886.1 1445.2 1444.0 1442.5 587.6 587.3 587.0 Growth Rates Monthly: 1977 June 8.8 8.8 8.8 9.7 9.7 9.7 11.2 11.2 11.2 July 9.3 8.9 8.2 10.0 9.4 8.6 7.0 6.5 6.1 Quarterly Averages: 1977 QI 9.3 9.3 9.3 10.9 10.9 10.9 5.4 5.4 5.4 QII 8.3 8.3 8.3 9.3 9.3 9.3 4.7 4.7 4.7 QIII 8.7 8.2 7.7 9.6 9.0 8.4 7.4 6.9 6.5 QIV 8.7 8.6 8.6 8.8 8.6 8.5 8.6 8.5 8.5 1978 QI 9.3 9.7 9.9 8.6 9.1 9.3 12.7 13.1 13.3 Semi-annual QI '77-QIII '77 8.6 8.3 8.1 9.5 9.2 8.9 6.1 5.8 5.6 QIII '77-QI '78 9.1 9.2 9.3 8.8 8.9 9.0 10.8 10.9 11.0 Annual QI '77-QI '78 9.0 9.0 8.9 9.4 9.3 9.2 8.6 8.5 8.5 than-usual distribution of social security checks, leading to more than normal amounts of funds held in demand deposit accounts over the long holiday weekend.1/ (8) Under alternative B growth in M-2 over June-July would be expected to pick up somewhat, due mainly to the anticipated strengthening in M-1.","(10) Given this background, and assuming that Federal funds continue to trade at around 5-3/8 per cent as contemplated under alternative B, it seems probable that short-term rates will remain close to current levels in the near term.","(12) The staff projections suggest that under alternative B the Federal funds rate would have to advance to an average of about 6 per cent in the first quarter of next year if M-1 growth in the QI '77- QI '78 period is to be held near the mid-point of the Committee's 4 -6 per cent range.","Because short-term market interest rates also would be expected to be lower than under alternative B or A, banks and thrift institutions should be able to maintain stronger inflows of interest-bearing deposits at that time.","","","","","","",""
1977,1977-07-19,1977-07-19,3,5.41,No target in FRED,"D Current M1 4½-7 4½-6½ 4-6½ 3½-6 4½-6½ M2 7-10 7-9½ 6½-9½ 6-9 7-9½ M3 8-11 8-10½ 7½-10½ 7-10 8½-11 Bank credit 7½-10½ 7½-10½ 7-10 6½-9½ 7-10 (9) Under alternative B, the one year growth ranges for M-1 and M-2 are the same as those adopted by the Committee in April.","D 826.7 832.7 838.6 820.6 840.0 859.2 826.7 832.7 838.5 820.6 839.4 857.8 826.7 832.7 838.4 820.6 839.2 857.1 877.3 875.3 874.1 895.2 893.4 892.0 Growth Rates Monthly: 1977 July August Quarterly Average: 1977 QII QIII QIV 1978 QI QII Semi-annual: QII '77-QIV '77 QIV '77-QII '78 Annual: QI '77-QI '78 QI '77-QII '78 QII '77-QII '78 7.9 8.2 8.9 8.1 826.7 832.7 838.4 820.6 839.2 856.0 872.0 887.2 10.5 9.7 10.0 9.7 9.2 8.5 7.9 9.6 8.3 9.7 9.5 9.1 10.5 9.1 10.0 9.5 8.8 8.3 8.1 9.2 8.3 9.4 9.3 8.9 10.5 8.2 10.0 9.2 8.4 8.1 8.3 8.9 8.3 9.2 9.2 8.8 10.5 8.2 10.0 9.2 8.0 7.5 7.1 8.7 7.3 9.0 8.7 8.2 8.7 8.5 9.9 9.5 9.1 8.4 8.2 9.4 8.4 9.6 9.4 9.1 8.7 8.4 9.9 9.2 8.8 8.2 8.3 9.1 8.3 9.3 9.3 8.9 8.7 8.2 9.9 9.1 8.0 7.5 7.0 8.6 7.3 8.9 8.6 8.1 -9- (11) Under alternative B, the proposed Federal funds rate range is the same as that adopted by the Committee at its previous meeting.","(13) Further increases in interest rates are likely to develop late this year and in the first half of next year if the midpoints of the -10- longer-run growth ranges contemplated under alternative B are to be achieved.","(14) As noted earlier, both alternatives C and D contemplate lower longer-run growth ranges for the monetary aggregates than alternative B.","Given the degree of near-term ease assumed, the funds rate by spring may have to be at or slightly above the level assumed at that time under alternative B in order to constrain monetary growth in the first half of next year to the indicated -13- rate.","Meanwhile, however, for most of the one-year period ahead, short- term rates would have been lower than under alternative B, with consequent relatively easier credit and liquidity conditions at banks and other institutions.","For example, under alternative B, M1 in QII '78 would be $2.5 billion (or .7 of a per cent) above the implied level for that quarter derived by extending the midpoint of the current M1 growth range to the second quarter of 1978 (shown in the second column).","M2 in QII '78 under alternative B would be .3 of a per cent above such an implied level.","","","",""
1977,1977-08-16,1977-08-16,1,6.01,No target in FRED,"Under alternative B, M-1 is expected to expand in a 2-6 per cent, annual rate, range.","(10) Growth in M-2 over the August-September period under alternative B is expected to be in a 4 -8 per cent annual rate range.","","","","","","","","","",""
1977,1977-09-20,1977-09-20,2,6.08,No target in FRED,"C Ranges for September-October M-1 5½-9½ 5-9 4½-8½ M-2 6-10 5½-9½ 5-9 Federal funds rate 5¼-6 5¾-6½ 6¼-7 (intermeeting period) (7) Assuming a Federal funds rate centered in the 5¾-6½ per cent range specified for alternative B, M-1 over the September-October period is expected to expand in a 5-9 per cent annual rate range.","(9) Under alternative B, in the September-October period M-2 is expected to expand in a 5½-9½ per cent annual rate range, assuming that short-term market interest rates show little change from currently prevailing levels in the period between now and the next meeting.","(11) Alternative C involves a more prompt rise in interest rates than alternative B and somewhat slower monetary growth rates over the balance of this year.","With additional monetary restraint in place somewhat sooner, the staff would expect interest rates to rise a little less over the longer-run than under alternative B. (12) Between now and the next Committee meeting an upward adjustment in the funds rate to around the 6-5/8 per cent mid-point -10- of the alternative C range would probably be associated with an increase in the 3-month Treasury bill rate to the 6¼-6½ per cent area.","","","","","","","",""
1977,1977-10-17,1977-10-18,1,6.48,No target in FRED,"D Current M-1 4-7 4-6½ 4-6 3-5½ 4-6½ M-2 6½-9 6-8½ 5½-8 5-7½ 7-9½ M-3 8-10½ 7½-10 7-9½ 6½-9 8½-11 Bank credit 7½-10½ 7-10 7-10 6-9 7-10 (6) Alternative B retains the growth range for M-1 adopted by the Committee in July.","-7- M-1 of around 5¼ per cent in the QIII '77-QIII '78 period, as called for under alternative B, would be associated with expansion over the 15-month QII '77-QIII '78 period at an annual rate of close to 6 per cent, in the upper part of the FOMC's current longer-run range.","C (or D) Ranges for October-November M-1 3½-8½ 3-8 2½-7½ M-2 6-10 5½-9½ 5-9 Federal funds rate (intermeeting period) 5¾-6¼ 6¼-6¾ 6¾-7¼ (10) Alternative B includes a Federal funds rate centered on the recently prevailing level of about 6½ per cent. (11) The staff expects, however, that even further increases in interest rates would be required as time goes on if growth in M-1 over the QIII '77-QIII '78 period is to be held to the mid-point of the longer-run 4-6 per cent range associated with alternative B. -11- (13) Growth in M-2 over the October-November period is likely to be in a 5 -9 per cent annual rate range under alternative B. -12- (15) A tightening of the funds market to the mid-point of a 6¾-7¼ per cent range over the next few weeks is contemplated under alternatives C or D--alternatives that over the longer-run involve lower growth ranges for the monetary aggregates than alternative B. (18) The easing in money market conditions over the next few weeks under alternative A would be consistent with a shift to somewhat higher longer-run growth ranges than those of alternative B. D 1975 II 5.8 5.5 9.3 9.0 11.1 10.8 III 5.7 5.3 9.2 8.9 10.9 10.6 IV 6.0 5.6 9.5 9.1 11.0 10.6 1976 I 6.3 5.9 9.4 8.9 10.9 10.5 II 6.1 5.6 9.2 8.7 10.8 10.3 III 6.3 5.7 9.2 8.6 10.6 10.1 IV 6.2 5.6 8.6 8.0 10.0 9.4 1977 I 6.6 5.8 8.3 7.6 9.7 9.0 II 6.1 5.3 8.1 7.3 9.6 8.7 III 5.3 4.2 7.5 6.4 8.8 7.7 Note: Alternatives A and C would encompass growth rates slightly higher and slightly lower, respectively, than those shown for alternative B. Appendix Table V-1 MONEY STOCK-M 1 (Annual rates of growth, compounded quarterly)- Base Period 74IV 751 0.7 3.9 5.0 4.4 4.1 4.8 4.7 5.0 4.9 5.3 5.7 7.1 7.2 5.6 4.9 5.6 5.4 5.6 5.4 5.8 6.2 7511 75111 75IV 7.3 4.9 4.2 5.3 5.1 5.4 5.2 5.6 6.1 1975--1 II III IV 1976--I II III IV 1977--I II III 2.9 5.6 5.2 5.6 5.3 5.9 6.4 7611 76111 76IV 8.5 6.4 6.5 6.0 6.5 7.0 4.4 5.6 5.1 6.0 6.7 6.7 5.5 6.5 7.3 4.3 6.5 7.5 771 7711 8.7 9.2 9.7 I/ Based on quarterly average data.","","","","","","","","",""
