start_date,Paragraph_number,Paragraph,Alternatives
1973-07-17,7,"(7) Three alternative policy strategies are summarized below
for Committee consideration. Alternative B incorporates a 3-3/4 per
cent annual rate of growth for M1 over the second half of 1973. This
is the growth rate that would be required to return to the 5-1/4 per
cent longer-run target path for M1, reaffirmed at the last meeting,
taking account of the overshoot in June and the second quarter (see
accompanying chart). Alternative A represents a somewhat easier policy,
and alternative C a somewhat tighter one. (More detailed figures are
shown in the table on the following page).
Alt. A Alt. B Alt. C
Targets (3rd and 4th Qtrs.
combined)
Credit proxy
Associated ranges for
July-August
Federal funds rate range
(inter-meeting period)
MONEY SUPPLY AND LONGER RUN TARGET PATH
RATIO SCALE, BILLIONS OF DOLLARS
- 270
.' .
.-
M1 LEVEL FOR MARCH
EXPECTED AT 3/19 FOMC--.
I I I I
S 0 N
i I I I I I I .
D J F M A M J J A S 0 N 0
I 1 11 I
for Key Monetary Aggregates
Alt. A Alt. B Alt. C
Adjusted
Alt. A
Rates of Growth
arters: 1973
nths:
July
Aug.
June
July
Aug.
Sept.
irters: 1973
3rd Q.
4th Q.
iths:
July
Aug.
Alt. A
32,450
32,497
33,967
34,174
Tota Re serves
Alt. B
32,450
33,492
33,916
34,075
Alt. C
32,450
33,487
33,889
34,055
Rates of Growth
Alt. A
30,492
31,138
31,973
32,204
APD
Alt. B
30,492
31,132
31,923
32,106
Alt. A
July
Aug.
Sept.
Alt. B
Alt. C
Credit
Alt. B
Proxy... .
Alt. C
S 1.
4.3
Alt
30,492
31,128
31,896
32,086
-"" ,'4tl I
","Alternative B, Alternative A, alternative C"
1973-12-17,7,"(8) The decline in the funds rate expected under alternative B
(and the greater decline expected under alternative A) essentially reflects
the substantial downward revision in the staff's projection of growth in
nominal GNP and the associated weakening in the demand for money and credit.
At the time of the last meeting the staff was projecting about a 9 and
of 1974 respectively; currently, the projected rates of growth are about
","alternative B, alternative A"
1974-01-21,7,"(9) The specifications for alternative B include a 6 per
cent annual rate for M1 over the first half of 1974. The staff believes
that such a growth rate would probably entail little change in the funds
rate from current levels. Thus, the range for the funds rate in that
alternative centers on 9-3/4 per cent. Alternative A includes moderately
higher growth rates for the monetary aggregates and a consequent easing
in money market conditions.
","alternative B, alternative c, Alternative A"
1974-10-14,7,"(7) Of the three alternatives shown, alternative B includes the
meeting. A further decline in the Federal funds rate over the next few
weeks is indicated for that alternative, at least to the mid-point of the
at the previous meeting for two reasons: (a) M 1 growth since the meeting
Alternative Longer-Run Targets for Key Monetary Aggregates
Alt. A Alt. B
Alt. C
Alt. A Alt. B Alt. C
M3
Alt. A Alt. B
Aug. '74--Mar. '75
Quarters:
1974 4th Q.
1975 1st Q.
Months:
Oct.
Nov.
Adjusted Credit
Alt. A Alt. B
Proxy
Alt. C
Rates of Growth
7.7 6.7
Total Reserves
Alt. A Alt. B Alt. C
RPD
Alt. A Alt. B
Aug. '74--Mar. '75
Quarters:
1974 4th Q.
1975 1st. Q.
Months:
Oct.
Nov.
Rates of Growth
6.2 5.8
Alt. C
Alt. C
MONEY SUPPLY AND LONGER RUN TARGET PATHS
RATIO SCALE, BILLIONS OF DOLLARS
RATE OF GROWTH
DEC '73 TO AUG '74 5 2%
J F M A M J J A S 0 N D
1974
| 53 4% Growth Rate
J F M
1975
has fallen short of expectations, and thus a more active provision of
reserves is required in future to move back to path; and (b) demand for
money is expected to be lower, particularly by the first quarter, in view
of the slower growth now projected by the staff for nominal GNP.
","alternative B"
1975-01-20,7,"(7) The format of the summary table has been modified to provide
additional perspective on longer-run growth rates of key monetary aggregates.
The bottom half of the table shows growth rates for M1 and M2 for periods
Alternative Longer-Run Growth
Alt. A
Alt. B
Rates for Key Monetary Aggregates
Alt. C
Alt. A
Alt. B
Growth Rates
Nov.'74--June '75
Nov.'74--June '75
Alt. A
M3
Alt. B
Alt. C
Alt. A
Credit Proxy
Alt. B
Growth Rates
Jan.
Feb.
Mar.
June
Alt. C
Alt. C
of time varying from 6 months to a year, with all periods ending in mid-1975.
These longer-run growth rates assume the staff GNP projection and further
assume that the funds rate reaches levels at about the mid-point of the
ranges shown over the next several weeks. For alternative A, however, it
should be noted that the lower interest rates are not assumed to persist
throughout the whole first half of the year, as will be explained below.
","alternative A"
1975-06-16,7,"(7) Alternative longer-run growth rates for the monetary
aggregates covering the 12-month period from June 1975 to June 1976
are summarized in the table below for Committee consideration.
Alternative B encompasses generally the same growth rates that had
been adopted by the Committee for the March '75--March '76 period at
its April meeting. The M1 growth range--at 5 to 7½ per cent--is exactly
the same, but minor downward adjustments have been made to growth ranges
for other monetary and credit aggregates. These adjustments take
account of changing relationships among the aggregates based on the
up-dated longer-run time period and re-assessment of the economic and
financial outlook.
Alt. A Alt. B Alt. C
M1  6-84 5-7½ 4-6½
M2  9-11 8-10 7-9
M3  10-12 9-11 8-10
Bank credit proxy 6-9 5½-8½ 4½-7
","Alternative B"
1975-08-19,7,"(7) Since nominal GNP is now projected to expand at an average
rate of 15 per cent through the second quarter of 1976, it seems highly
probable that longer-run growth in M1 can be contained within the Committee's
further as the period progresses. For this reason none of the short-run
policy options presented contemplates an easing of money market rates
from recent levels. Under alternative A, the average funds rate would
remain close to recently prevailing levels for the time being, but
Alternative Levels and Growth Rates for Key Monetary Aggregates
M1 M2  M3
Alt. A Alt. B Alt. C Alt. A Alt. B Alt. C Alt. A Alt. B Alt. C
MEMO
Committee Target Ranges 5-7½ 8½-10½ 10-12
Alternative Levels and Growth Rates for Key Monetary Aggregates (cont'd)
Credit Proxy
M4
Alt. A Alt. B Alt. C Alt. A Alt. B Alt. C Alt. A Alt. B Alt. C
Levels
1975 July
August
September
QIII
QIV
QII '75-QIV '75
QIV '75-QII '7 6
Alternatives B and C would both involve some immediate further
tightening of money market conditions.
","alternative A"
1975-12-16,7,"(7) Under alternative B the Federal funds rate range is centered
around the 5¼ per cent level that has been prevailing for several weeks.
The staff believes that in these circumstances M1 would grow in about a
of M 1 in the December-January period is expected to be constrained by
continuing shifts of corporate funds from demand deposits to savings accounts.
The expected range of M1 growth reflects our assumption that such shifts may
reduce M growth by 1 to 1 percentage points. This assumption is based on an
evaluation of early data on the increase in corporate savings accounts and our
expectation that the pace at which funds are transferred out of demand accounts
will slow.
","alternative B"
1976-03-15,7,"(7) The Federal funds rate under alternative B is centered on
such a funds rate, over the March-April period M1 is expected to expand
in a 3½-7½ per cent annual rate range. Tax refunds are likely to con-
tribute somewhat to growth in demand deposits in March. As April progresses,
however, payments by the Treasury will probably be moderating and might be
more than offset by the public's drawing down balances that had been built
up by earlier refunds. Thus, M 1 growth during the March-April period is
expected to depend essentially on transactions demands associated with
the projected relatively rapid expansion in nominal GNP. Our expectation
for money growth over the next two months assumes some continued downward
shift in money demand.
Alternative Levels and Growth Rates for Key Monetary Aggregates
M1 M2
Alt. A Alt. B Alt. C Alt. A Alt. B Alt. C Alt. A Alt. B Alt. C
Growth Rates
Monthly:
Quarterly Average:
QIV '75-QII '76
QII '76-QIV '76
QIV '75-QIV '76
Committee Longer-run
Growth Ranges
QIV '75-QIV '76
Alternative Levels and Growth Rates for Key Monetary Aggregates (cont'd)
Alt. A Alt. B Alt. C Alt. A Alt. B Alt. C
Credit Proxy
Alt. A Alt. B Alt. C
Growth Rates
Monthly:
Quarterly Averages:
QIV '75-QII '76
QII '76-QIV '76
","alternative B"
1976-09-21,7,"(7) With economic activity projected to expand at a moderate
rate over the next few months, M1 is also expected to continue rising
over the September-October period at a rate little different from that
of recent months. Under alternative B, given prevailing money market
conditions--as indexed by a Federal funds rate around 5¼ per cent--
M1 will probably grow in a 4-8 per cent annual rate range.
","alternative B"
1976-12-20,7,"(7) Alternative B assumes that prevailing money market
conditions--indexed by a Federal funds rate around 4-5/8 per cent--
would be maintained between now and the next Committee meeting. M1
in the December-January period would, in consequence, be expected to
expand in a 2½-6½ per cent annual rate range. The mid-point of that
growth range is close to the average rate of growth in M1 over the
past six months--a period when the rate of expansion in nominal GNP
had slowed. A faster growth in M1 is expected to develop later in the
winter in reflection of the pick-up in economic expansion that is
currently projected by the staff.
","Alternative B"
1977-02-15,7,"(7) Growth in M1 over the February-March period is expected
to be in a 3-7 per cent annual rate range, assuming a Federal funds
rate centered in a 4¼-5 per cent range, as in alternative B. The rate
of expansion that is anticipated for M1 reflects in part the retardation
in economic activity caused by the recent cold snap and associated fuel
","alternative B"
1977-03-15,7,"(7) Assuming the Federal funds rate remains around 4-5/8 per
cent--the midpoint of the alternative B range--we expect M1 growth
in the March-April period to accelerate and be at an annual rate in a
view of the strengthening in economic activity that appears to be in
process. Tax rebates are not likely to be disbursed until May, and thus
will not directly influence monetary growth rates in March and April. The
rebates will have a substantial effect on growth in money in the following
months; alternative projections of their impact on M1 and M2 over the
spring and summer will be shown in next month's blue book. At the moment
the staff is tentatively estimating that the rebates will raise the
second-quarter growth rate in M1 (relative to what it otherwise would be)
by about 2 percentage points, and lower the third-quarter rate by about
the same amount. (Such estimated impacts are included in the tables on
pages 5 and 6.)
","alternative B"
1977-04-19,7,"(7) Alternative B encompasses a one-year growth rate for M1
of 4½-6½ per cent, the same range as is currently in place. However,
growth ranges for M2 and M3 under this alternative are lower--by ½ percen-
tage point for M2 and 1 percentage point for M3 . Lower ranges for the
broader aggregates relative to M1 are expected mainly because the new
ranges now apply to a period that excludes QIV '76, when relatively low
market rates produced large inflows of time and savings deposits at
depository institutions, and instead includes QI '78, when relatively
high market interest rates are expected to dampen such flows.1/
","Alternative B, alternative a"
1977-09-20,7,"(7) Assuming a Federal funds rate centered in the 5¾-6½ per
cent range specified for alternative B, M-1 over the September-October
period is expected to expand in a 5-9 per cent annual rate range. Incoming
data suggest that M-1 will grow at about a 6½ per cent annual rate in
September, and the staff would anticipate a slight acceleration to about
a 7½ per cent annual rate in October. Strength in the demand for M-1 is
likely to be sustained in the fall, given the pick-up in growth of nominal
GNP that is projected and recent indications that the public may be
reducing the extent to which it is shifting out of M-1 into other liquid
","alternative B"
1978-01-17,7,"(7) Alternative B encompasses the ranges for all of the
aggregates adopted by the Committee in October for the QIII '77-
QIII '78 period. The ranges for M-2 and M-3 now assume an upward
adjustment of one-half percentage point in ceiling rates on small
denomination time deposits in the first half of the year. Without
such an adjustment, the increase in market interest rates thought
necessary to restrain M-1 growth to the mid-point of its indicated
range would--given associated projections for time deposit flows into
banks and thrift institutions--lead to growth in M-2 and M-3 at rates
near or below the lower ends of the ranges shown.1 / Alternatives A
and C represent, respectively, somewhat more and somewhat less expansive
policy alternatives; both also assume the upward adjustment in ceiling
","Alternative B"
1978-02-28,7,"(8) Alternative B continues the ranges for M-1 and M-2
that were adopted by the Committee in October for the QIII '77-QIII '78
period. Alternatives A and C represent, respectively, somewhat more and
somewhat less expansive policy alternatives. Under all three
alternatives, the M-3 growth range is projected to be lower than
the current range for this aggregate. Since around year end, net
inflows of deposits to thrift institutions have persisted at a rate
considerably lower than previously anticipated, and, as a result, the
staff has reduced its projections of such inflows over the year ahead.
","Alternative B"
1978-03-21,7,"(7) Each of the alternatives is consistent with the growth
ranges for QIV '77 to QIV '78--as indexed by M-1 growth in a 4 to 6½
per cent range--adopted by the Committee at its February meeting and
each requires that interest rates would rise over the balance of
the year in order to constrain growth in the aggregates to the mid-
point of the longer-run ranges. Under alternative B, the Federal
funds rate would be expected to remain unchanged over the inter-
meeting period and then begin rising thereafter, reaching about 8
per cent by fall. The near-term decline in the funds rate contemplated
Alternative Levels and Growth Rates for Key Monetary Aggregates
M-1 M-2
Alt. A Alt. B Alt. C Alt. A Alt. B Alt. C
Alternative Levels and Growth Rates for Key Monetary Aggregates (cont'd)
M-3 Bank Credit
Alt. A Alt. B Alt. C Alt. A Alt. B Alt. C
under alternative A would likely require a greater rise in this
rate over the summer and fall. Under alternative C, restraint would
begin earlier; thus the required upward adjustments in the funds
rate over 1978 would be somewhat less.1/ The levels of interest
rates consistent with each alternative imply continued relatively
slow growth of interest-bearing deposits subject to rate ceilings
at banks and thrift institutions, even though the projections of
deposit aggregates assume a 50 basis point increase in time deposit
ceiling rates in the months ahead.
","alternative B, alternative A, alternative C"
1978-04-18,7,"(7) The table below presents for Committee consideration
alternative longer-run growth ranges for the monetary aggregates
over the QI '78 to QI '79 period, along with ranges currently in place.
Alternative B would continue the ranges for M-1 and M-2 adopted
by the Committee in February for the QIV '77 to QIV '78 period. The
longer-run range for M-3 has been reduced, however, largely because
higher market rates of interest are now projected for late 1978 and
early 1979 and because recent deposit inflows to thrift institutions
have continued relatively weak. Alternatives
respectively, somewhat more and somewhat less
Alt. A Alt. B
M-1 4 to 7 4 to 6½
M-2 7 to 9½ 6½ to 9
M-3 7 to 9½ 6½ to 9
Bank credit 8 to 11 7½ to 10½
A and C represent,
Alt. C Current
","Alternative B"
1978-05-16,7,"(8) Growth in M-1 is expected to slow considerably over
the two-month May-June period from the extraordinary April rate, partly
because the temporary impact of tax-related factors should be unwinding.
Under alternative A--which encompasses a range for the Federal funds
rate centered on its recently prevailing level of around 7-3/8 per
cent--M-1 is expected to expand in a 4 to 8 per cent annual rate
range over the May-June period. Given this projection, the level
of M-1 in each month of the second quarter would be above
levels implied by the FOMC's longer-run range, as shown in
Chart 1 on the following page. Growth in M-1 in the second quarter
would be at a 9¼ per cent annual rate, reflecting for the most
part the sharp rebound in economic activity this quarter, when
nominal GNP is now anticipated to expand at a 17½ per cent annual
Alternative Levels and Growth Rates for Key Monetary Aggregates
M-1 M-2
Alt. A Alt. B Alt. A Alt. B
Growth Rates
Monthly:
Quarterly Average:
Alternative Levels and Growth Rates for Key Monetary Aggregates (cont'd)
M-3 Bank Credit
Alt. A Alt. B Alt. A Alt. B
Growth Rates
Monthly:
Quarterly Average:
","alternative A"
1978-10-17,7,"(7) Alternative longer-run growth ranges for the monetary
aggregates over the one-year QIII '78 to QIII '79 period are shown
below for Committee consideration. M-1 ranges shown in the top line
reflect staff estimates of the expected shift from demand deposits to
savings deposits over the year ahead as a result of the introduction of
the automatic transfer service (ATS) on November 1, while M-1 ranges
that abstract from the estimated impact of ATS are shown in parentheses
in the second line. The upper limits of the ranges on the top line are
noticeably lower than those on the second line because the staff
believes that some significant shift from demand to savings deposits
as a result of ATS will almost assuredly occur, as explained in paragraph
uncertain size of this shift. Alternative B is based on the same growth
rate range for M-1 as adopted by the Committee in July for the QII '78
to QII '79 period, while alternatives A and C encompass, respectively,
more and less expansion of M-1. For reasons to be discussed later, the
M-2 and M-3 ranges in nearly all cases have been raised relative to
current ranges.
Alt. A Alt. B Alt. C
Current
Ranges
M-1 ½ to 6 -½ to 5 -1½ to 4
(M-1, as if
no ATS) (5 to 7½) (4 to 6½) (3 to 5½) (4 to
M-2 7½ to 10 7 to 9½ 6½ to 9 6½ to
M-3 9 to 11½ 8½ to 11 8 to 10½ 7½ to
Bank Credit 9 to 12 8½ to 11 8 to 11 8½ to
M-l+ 1/ 6 to 8½ 5 to 7½ 4 to 6½
","Alternative B"
1980-03-18,7,"(7) Shown below for Committee consideration are three alternative
targets for the monetary aggregates over the six-month December to June
interval, along with implied growth rates for the February to June period.1/
Also shown are intermeeting federal funds rate ranges. The funds range
currently in effect is shown under alternative B. Because of recent upward
adjustments in the upper limit, the range has become considerably wider
than the 4 point width that had been usual since the October program was
adopted. If the Committee wished to return to a narrower range, the staff
would suggest that a 13 or 14 to 18 percent range would be generally con-
sistent with alternative B under present market circumstances (and similar
adjustments would need to be made to alternatives A and C).
Alt. A Alt. B Alt. C
Growth rates from Dec. to June
M-1A 5 4½ 4
M-1B 5½ 5 4½
M-2 8 7¾ 7½
Implied growth for February
to June
M-1A 3¾ 3 2¼
M-1B 4½ 3¾ 3
M-2 7½ 7 6½
Intermeeting federal funds
rate range 11 to 17½ 11½ to 18 12 to 18½
month), it did not seem desirable to focus policy for the period ahead
on a second quarter growth rate. The more detailed tables on pages
projection for March).
Alternative Levels and Growth Rates for Key Monetary Aggregates
M-1A M-1B
Alt. A Alt. B Alt. C Alt. A Alt. B Alt. C
Growth Rates
Monthly
Quarterly Average
Alternative Levels and Growth Rates for Key Monetary Aggregates (cont'd)
M-2 M-3
Alt. A Alt. B Alt. C Alt. A Alt. B Alt. C
Growth Rates
Monthly
Quarterly Average
","alternative B, alternative B"
1981-11-17,7,"(7) Alternative A maintains the September to December target
for M1-B adopted by the Committee at its last meeting, while alternatives
B and C reduce that target by one and two percentage points, respectively.
All of the alternatives would imply faster M1-B growth over the two month
October to December period than has occurred in any two-month period since
last spring. Still, all would imply growth in M1-B over the year 1981
Alternative Levels and Growth Rates for Key Monetary Aggregates
Growth Rates
Monthly
September 1981 - December 1981
October 1981 - December 1981
Quarterly Average
Annual Average
MOTE: Growth rates shown in parentheses are
Alt. A
(3.0)
10.7
(10.0)
Alt. B
(2.7)
5.2
(2.3)
8.2
Alt. C
( 1.7)
5.8
Alt. A
(3.9)
6.3
(7.8)
11.0
Alt. B
Alt. C
for the observed levels of the aggregates.
Alternative Levels and Growth Rates for Key Monetary Aggregates (cont'd.)
Alt. A Alt. B Alt. C Alt. A Alt. B Alt. C
Growth Rates
Monthly
Quarterly Average
Annual Average
_w __
below the lower-end of the Committee's longer-run range. Growth in M2 for
the year may be a little over the upper limit of its 6 to 9 percent annual
range under any of the alternatives, but at this point growth seems unlikely
to be much more than at a 9¼ percent rate.1/
","Alternative A"
1982-06-30,7,"(7) Two options that seem reasonable under current circumstances
in reconsidering the monetary aggregate targets for 1982 are retention of
the present ranges (shown as alternative A below) or adoption of somewhat
higher ranges (shown as alternative B).1/ The desirability of higher ranges
depends in part on whether it is thought that the strong demands for
liquidity of the first half of the year--reflected in declines in velocity
of both M1 and M2--are likely to abate. It also depends, of course, on the
degree of monetary restraint the Committee deems appropriate under current
economic circumstances and on assessment of the expectational impact on
interest rates and the economy of announced changes, if any, in target
Alt. A Alt. B
M1 2½ to 5½ 2½ to 6
M2 6 to 9 6½ to 9½
M3 6½ to 9½ 6½ to 10
","alternative A, alternative B"
1982-11-16,7,"(7) The table below presents three alternative targets for M2
for the current quarter, along with associated federal funds rate ranges.
Alternatives B and C encompass growth rates of M2 (and also M3) for the
quarter consistent with the Committee's decision with respect to these
aggregates at the previous meeting, while alternative A looks to somewhat
higher growth rates. Rates of growth for M1 implied by these M2 paths
are shown in the second panel. More detailed data for the alternatives
are shown in the table and charts on the next few pages. The quarterly
interest rate path underlying the staff's GNP projection is contained in
Appendix II.
Alt. A Alt. B Alt. C
Growth in M2
Sept. to Dec. 10 9½ 9
Oct. to Dec. 11 10¼ 9½
Memo: Implicit
Ml Growth
Sept. to Dec. 12½ 11¼ 10
Oct. to Dec. 8¼ 6½ 5
Federal funds
rate range 6 to 9½ 7 to 10½ 8 to 11½
","alternative A"
1984-05-21,7,"(7) The upper panel of the table below shows alternative
specifications for the monetary aggregates for the March-to-June period,
along with the specifications for this period chosen by the Committee at
its March meeting. Differences among the alternatives are fairly small,
given the relatively short time remaining in the second quarter follow-
ing the meeting; somewhat greater contrast can be seen in the lower panel,
which gives the implied growth from April to June for each alternative
and for attainment of the Committee's current short-run paths, given
actual growth in April. The middle panel of the table shows associated
federal funds rate ranges. (More detailed data can be found on the
charts and table on the following pages.)
Memo:
Adopted
Alt. A Alt. B Alt. C in March
Growth from March
to June
M1 7 6-1/2 6 6-1/2
M2 8-1/4 8 7-3/4 8
M3 10-1/4 10 9-3/4 8-1/2
Federal funds rate
ranges 7 to 11 7-1/2 to 8 to 12 7-1/2 to
Implied growth from
April to June
Ml 10-1/4 9-1/2 9 9-1/2
M2 8-3/4 8-1/2 8 8-1/2
M3 10 9-1/2 9 7-1/4
","alternative
a"
1984-10-02,7,"(8) The table below provides three alternative specifications for
growth in the monetary aggregates for the period from September to December,
with associated federal funds rate ranges. (More detailed data, including
implied growth for the QIV 1983 to QIV 1984 period, can be found in the table
and charts on the following pages.) Alternative B--which is expected to
involve continuation of roughly the current degree of pressure on bank
reserve positions--calls for growth in M1 that would keep this aggregate
at the midpoint of the Ccmmittee's long-run range, with M2 moving a
little higher in its range, though remaining below the midpoint, and M3
continuing near the upper end of its range. Alternative A calls for
somewhat faster money growth over the September-to-December period,
consistent with an easing in reserve pressures, while alternative C
contemplates somewhat slower money growth, associated with tighter reserve
conditions. Given the proximity of the end of the year, under all the
alternatives growth in M1 for the year would not be far from the 6 per-
cent midpoint of the Committee's long-run range, M2 would be expected to
remain around 7 percent--in the lower half of its long-run range-and M3
growth would stay close to the 9 percent upper end of its long-run range.
Alt. A Alt. B Alt. C
Growth from
September to
December
M1 7-1/2 6 4-1/2
M2 8 7-1/2 7
M3 9-1/4 9 8-3/4
Federal funds
rate range 7-1/2 to 11-1/2 8 to 12 8-1/2 to 12-1/2
Alternative Levels and Growth Rates for Key Monetary Aggregates
M1 M2 M3
Alt. A Alt. B Alt. C Alt. A Alt. B Alt. C Alt. A Alt. B Alt. C
Monthly Levels-- ---- ---- -- - - --------
Growth Rates
Monthly
Growth Rates
Quarterly Average
Longer Run Targets:
'83 Q4 to '84 Q4 4.0 to 8.0 6.0 to 9.0 6.0 to 9.0
Chart 2 CONFIDENTIAL (FR)
Actual and Targeted M2 
CLASS II FOMC
Billions of dollars
2400
S - ACTUAL LEVELS / -2380
-- ESTIMATED LEVELS
* SHORT RUN ALTERNATIVES /
/ - 2360
/A
-
-C
/ -2340
/ 23206/
/ / - 2300
-/ - 2240
- /-2220
S- 2200
- -- 2180
Chart 3 CONFIDENTIAL (FR)
CLASS FOMC
Actual and Targeted M3
Billions of dollars
A 2960
B
C-c
/- 2900
/ 2880
/ - 2860
/ 6%
S/ 2840
/ - 2820
- 2760
S I I I I I I I I I I I A e
O N D J F M A M J J A S 0 N 0
I J I I I I r I 1 I I I I I L~qy
","Alternative B, Alternative A, alternative C"
1984-11-07,7,"(7) The table below gives two alternative specifications for
growth in the monetary aggregates over the period from September to December,
along with associated federal funds rate ranges. (More detailed data, in-
cluding implied growth for the QIV 1983-to-QIV 1984 period and for October
through December, can be found on the table and charts on the following
pages.) Given the substantial weakness of M1 in October, both alternatives
contemplate growth in this aggregate over the three-month September-to-December
period well below the short-run objective specified by the Committee at its
last meeting, but growth of M2 and M3 would be expected to be near their
short-run objectives. Alternative A involves an initial easing in bank
reserve positions, while no substantial change is contemplated by alternative
B. No alternative that would initially tighten bank reserve positions is
presented in view of the size of recent shortfalls in M1 and M2, with both
aggregates now in the lower halves of their ranges for 1984.
MEMO: Current
Alt. A Alt. B FOMC specifications
Growth from
September to
M1 3-1/2 2-1/2 6
M2 7-1/2 7 7-1/2
M3 9-1/2 9-1/4 9
Federal funds
rate range 7 to 11 8 to 12 8 to 12
","Alternative A, alternative
B"
1985-03-26,7,"(7) The table below provides three alternative specifications
for growth in the monetary aggregates from March to June, along with
associated ranges for the federal funds rate. (More detailed data, in-
cluding implied growth from the fourth quarter to June, can be found on
the table and charts on the following pages.) Alternative B, which appears
consistent with roughly unchanged pressures on reserve positions, calls
for money growth that would keep M1 in June around the upper limit of the
parallel band that extends back from the endpoints of the longer-run
range for the aggregate. A more marked slowing of money growth is
specified in alternative C, keeping M1 within the band though still above
the upper limit of the cone; alternative A contemplates somewhat more
rapid money growth than B that would pull M1 above the upper limit of
the band.
Alt. A Alt. B Alt. C
Growth from March
to June
M1 7-1/2 6-1/2 5
M3 8-3/4 8 7
Associated
federal funds
rate range 5-1/2 to 9-1/2 6 to 10 7 to 11
","Alternative B, alternative C, alternative A"
1985-05-21,7,"(7) The specifications of alternative B involve slightly
faster M1 growth over the three-month March-to-June period than adopted
at the last Cmmittee meeting, but much slower growth in the broader
Alt. C
March
FOMC
Alternative Levels and Growth Rates for Key Monetary Aggregates
M1 M2 M3
Alt. A Alt. B Alt. C Alt. A Alt. B Alt. C Alt. A Alt. B Alt. C
Monthly Levels -- - -- --- - - --- ---- - -
Growth Rates
Monthly
Growth Rates
aggregates, given their weak performance in April. This behavior of the
aggregates is expected to be consistent with seasonal plus adjustment
borrowing at the discount window of $300 to $350 million, assuming that
borrowing by privately-insured thrift institutions experiencing persistent
liquidity difficulties is in effect extended credit. Total reserves
might increase at a 6 percent annual rate over May and June under
alternative B, with nonborrowed reserves (including extended credit)
increasing at 8 percent rate.
","alternative B, alternative B"
1985-08-20,7,"(7) It seems unlikely, given recent developments, that the
Committee's June-to-September objective of 5 to 6 percent growth (annual
rate) for M1 can be attained short of a very sharp rise in the federal
funds rate to perhaps the 10 to 11 percent area. Assuming some slight
decrease in M1 in the second half of August, it would take about a 5
percent annual rate of decline in September for growth over the three
months to reach 6 percent. It is likely, however, that such a rise in
the funds rate would need to be reversed later in the year to sustain
economic activity, consistent with growth of M1 around the upper limit
of its range. The alternatives presented below are based on less extreme
movements in money and interest rates. Of the alternatives, B and C are
most consistent with moving near to or somewhat below the upper end of the
FOMC's 3 to 8 percent long-run range for M1 by the fourth quarter, although
the tighter alternative C would provide more assurance. Alternative A
would very probably involve growth for the second half above the Com-
mittee's M1 target. (More detailed data are shown in the following
tables and charts).
Alt. A Alt. B Alt. C
Growth from June to
September
M2 9-1/4 8-1/2 7-3/4
M3 7 6-1/4 5-3/4
Associated federal
funds rate range 5 to 9 6 to 10 7 to 11
Alternative Levels and Growth Rates for Key Monetary Aggregates
Alt. A Alt. B Alt. C Alt. A Alt. B Alt. C Alt. A Alt. B Alt. C
July
August
September
Growth Rates
Monthly
July
August
September
Growth Rates
Long-run base
period to July 851
Long-run base
period to Sept. 851
the second quarter of 1985 for M1 and the fourth quarter of 1984 for M2 and M3.
","alternative C, Alternative A"
1986-05-20,7,"(7) All of the alternatives shown in the table below specify
faster growth in each of the monetary aggregates over March to June than
the paths selected by the Committee at the April meeting. A slowing in
money growth over the balance of the quarter is enbodied in all these
alternatives, but given the substantial expansion in April and early May,
achieving the Committee's existing specifications for the 3-month period
would require some contraction in M1 and M2. None of the alternatives
presented below assumes the extreme tightening in reserve conditions that
might be associated with an attempt to achieve such an outcome. Alterna-
tive B assumes maintenance of about current pressures on reserve positions,
while alternative A and alternative C contemplate a moderate easing and
tightening of reserve pressures, respectively. As shown in the more
detailed data on the table and charts on the following pages, under all the
alternatives M1 in June would be expected to be considerably above the
upper end of its parallel band, but M2 would stay in the lower portion and
M3 around the middle of their respective cones.
Alt. A Alt. B Alt. C
Growth from
March to June
M1 13-3/4 13 12-1/4
M2 10-1/2 10 9-1/2
M3 8-3/4 8-1/2 8-1/4
Associated federal
funds rate range 1 4 to 8 5 to 9 6 to 10
i. The funds rate range of 5 to 9 percent suggested for alternative B-
one percentage point lower than the range now in the directive-is about
centered on the area of federal funds trading that has prevailed under
existing reserve conditions since the discount rate was cut to 6-1/2
percent.
Alternative Levels and Growth Rates for Key Monetary Aggregates
Alt. A Alt. B Alt. C Alt. A Alt. B Alt. C Alt. A Alt. B Alt. C
Levels in billions
1986-January
February
March
April
May
June
Monthly Growth Rates
1986-January
February
March
April
May
June
Quarterly Ave. Growth Rates
1985-Q2 10.5
Q3 14.5
Q4 10.7
Mar. 86 to June 86
Apr. 86 to June 86
Q4 84 to Q4 85
Q4 85 to Apr. 86
Q4 85 to June 86
Chart 1
ACTUAL AND TARGETED M1
BI 1 lons of dot IlIr
1 690
-- 680
-- ACTUAL LEVEL
* SHORT RUN ALTERNATIVES
-H 670
-- 660AeB .'
* C-"" ,
-- 620
«
.- *
.*,
o
","alternative A, alternative C, alternative B"
