start_date,end_date,RelevantParagraphs,alternatives_discussed,alternatives_parags
1994-09-27,1994-09-27,8,"Alternative B, Alternative C, Alternative D","(6), (8), (9), (10), (11), (13), (14), (15)"
1994-11-15,1994-11-15,5,"Alternative B, Alternative C","(7), (9), (12), (15), (16)"
1994-12-20,1994-12-20,7,"Alternative B, Alternative C","(7), (10), (11), (12), (14), (15), (16)"
1995-01-31,1995-02-01,8,"Alternative A, Alternative B, Alternative C","(8), (25), (26), (27), (28), (29), (31), (32)"
1995-03-28,1995-03-28,8,"Alternative A, Alternative B, Alternative C","(7), (8), (9), (10), (11), (12), (13), (14)"
1995-05-23,1995-05-23,10,"Alternative A, Alternative B, Alternative C","(7), (8), (9), (10), (11), (12), (13), (14), (16), (17)"
1995-07-05,1995-07-06,5,"Alternative A, Alternative B","(25), (26), (27), (28), (29)"
1995-08-22,1995-08-22,7,"Alternative A, Alternative B, Alternative C","(8), (9), (10), (11), (12), (13), (15)"
1995-09-26,1995-09-26,6,"Alternative A, Alternative B, Alternative C","(10), (11), (12), (14), (15), (17)"
1995-11-15,1995-11-15,7,"Alternative A, Alternative B, Alternative C","(9), (10), (11), (12), (13), (14), (15)"
1995-12-19,1995-12-19,8,"Alternative A, Alternative B, Alternative C","(9), (10), (11), (12), (13), (14), (15), (16)"
1996-01-30,1996-01-31,7,"Alternative A, Alternative B, Alternative C","(22), (23), (24), (25), (26), (27), (28)"
1996-03-26,1996-03-26,6,"Alternative A, Alternative B, Alternative C","(8), (9), (10), (11), (12), (13)"
1996-05-21,1996-05-21,3,"Alternative B, Alternative C","(10), (11), (12)"
1996-07-02,1996-07-03,4,"Alternative B, Alternative C","(19), (21), (22), (23)"
1996-08-20,1996-08-20,2,"Alternative B","(8), (11)"
1996-09-24,1996-09-24,4,"Alternative B, Alternative C","(8), (9), (10), (13)"
1996-11-13,1996-11-13,7,"Alternative A, Alternative B, Alternative C","(6), (7), (8), (9), (10), (11), (13)"
1996-12-17,1996-12-17,7,"Alternative A, Alternative B, Alternative C","(8), (9), (10), (11), (12), (13), (14)"
1997-02-04,1997-02-05,6,"Alternative A, Alternative B, Alternative C","(19), (20), (22), (23), (24), (25)"
1997-03-25,1997-03-25,4,"Alternative B","(7), (8), (12), (13)"
1997-05-20,1997-05-20,4,"Alternative B, Alternative C","(8), (9), (11), (14)"
1997-07-01,1997-07-02,5,"Alternative B, Alternative C","(32), (34), (35), (36), (37)"
1997-08-19,1997-08-19,5,"Alternative B, Alternative C","(6), (8), (9), (10), (11)"
1997-09-30,1997-09-30,5,"Alternative B, Alternative C","(6), (7), (8), (9), (10)"
1997-11-12,1997-11-12,3,"Alternative B, Alternative C","(9), (10), (12)"
1997-12-16,1997-12-16,5,"Alternative A, Alternative B, Alternative C","(9), (10), (11), (13), (15)"
1998-02-03,1998-02-04,3,"Alternative A, Alternative B","(21), (23), (24)"
1998-03-31,1998-03-31,8,"Alternative A, Alternative B, Alternative C","(8), (9), (10), (11), (12), (13), (14), (15)"
1998-05-19,1998-05-19,5,"Alternative B, Alternative C","(8), (11), (13), (14), (15)"
1998-06-30,1998-07-01,5,"Alternative B, Alternative C","(22), (23), (24), (25), (26)"
1998-08-18,1998-08-18,6,"Alternative A, Alternative B, Alternative C","(6), (7), (8), (9), (10), (12)"
1998-09-29,1998-09-29,4,"Alternative A, Alternative B","(7), (9), (10), (11)"
1998-11-17,1998-11-17,5,"Alternative A, Alternative B","(8), (9), (10), (11), (13)"
1998-12-22,1998-12-22,6,"Alternative A, Alternative B, Alternative C","(10), (11), (12), (13), (15), (16)"
1999-02-02,1999-02-03,8,"Alternative A, Alternative B, Alternative C","(7), (19), (20), (21), (22), (23), (24), (25)"
1999-03-30,1999-03-30,4,"Alternative B, Alternative C","(7), (8), (9), (10)"
1999-05-18,1999-05-18,5,"Alternative B, Alternative C","(8), (9), (10), (11), (13)"
1999-06-29,1999-06-30,3,"Alternative B, Alternative C","(22), (24), (25)"
1999-08-24,1999-08-24,5,"Alternative B, Alternative C","(8), (9), (10), (11), (13)"
1999-10-05,1999-10-05,3,"Alternative B","(7), (8), (9)"
1999-11-16,1999-11-16,5,"Alternative B, Alternative C","(9), (11), (12), (13), (15)"
1999-12-21,1999-12-21,4,"Alternative B, Alternative C","(7), (11), (12), (13)"
2000-02-01,2000-02-02,7,"Alternative B, Alternative C, Alternative D","(29), (30), (31), (32), (34), (35), (36)"
2000-03-21,2000-03-21,5,"Alternative B, Alternative C, Alternative D","(7), (9), (10), (11), (12)"
2000-05-16,2000-05-16,6,"Alternative C, Alternative D","(7), (8), (9), (10), (11), (12)"
2000-06-27,2000-06-28,3,"Alternative B, Alternative C","(18), (20), (21)"
2000-08-22,2000-08-22,4,"Alternative B, Alternative C","(7), (8), (9), (10)"
2000-10-03,2000-10-03,4,"Alternative B, Alternative C","(7), (8), (9), (10)"
2000-11-15,2000-11-15,5,"Alternative A, Alternative B, Alternative C","(7), (9), (10), (12), (13)"
2000-12-19,2000-12-19,4,"Alternative A, Alternative B","(8), (10), (11), (12)"
2001-01-30,2001-01-31,4,"Alternative A, Alternative D","(9), (14), (16), (18)"
2001-03-20,2001-03-20,0,"No alternatives found","No alternatives found"
2001-05-15,2001-05-15,0,"No alternatives found","No alternatives found"
2001-06-26,2001-06-27,0,"No alternatives found","No alternatives found"
2001-08-21,2001-08-21,1,"Alternative A","(12)"
2001-10-02,2001-10-02,0,"No alternatives found","No alternatives found"
2001-11-06,2001-11-06,0,"No alternatives found","No alternatives found"
2001-12-11,2001-12-11,0,"No alternatives found","No alternatives found"
2002-01-29,2002-01-30,1,"Alternative D","(13)"
2002-03-19,2002-03-19,0,"No alternatives found","No alternatives found"
2002-05-07,2002-05-07,0,"No alternatives found","No alternatives found"
2002-06-25,2002-06-26,0,"No alternatives found","No alternatives found"
2002-08-13,2002-08-13,0,"No alternatives found","No alternatives found"
2002-09-24,2002-09-24,0,"No alternatives found","No alternatives found"
2002-11-06,2002-11-06,0,"No alternatives found","No alternatives found"
2002-12-10,2002-12-10,0,"No alternatives found","No alternatives found"
2003-01-28,2003-01-29,0,"No alternatives found","No alternatives found"
2003-03-18,2003-03-18,0,"No alternatives found","No alternatives found"
2003-05-06,2003-05-06,0,"No alternatives found","No alternatives found"
2003-06-24,2003-06-25,0,"No alternatives found","No alternatives found"
2003-08-12,2003-08-12,0,"No alternatives found","No alternatives found"
2003-09-16,2003-09-16,1,"Alternative A","(15)"
2003-10-28,2003-10-28,0,"No alternatives found","No alternatives found"
2003-12-09,2003-12-09,1,"Alternative A, Alternative C","(12)"
2004-01-27,2004-01-28,0,"No alternatives found","No alternatives found"
2004-03-16,2004-03-16,4,"Alternative A, Alternative B, Alternative C","(8), (10), (12), (14)"
2004-05-04,2004-05-04,6,"Alternative A, Alternative B, Alternative C","(8), (9), (10), (11), (13), (14)"
2004-06-29,2004-06-30,9,"Alternative A, Alternative B, Alternative C","(11), (12), (13), (14), (16), (17), (18), (19), (20)"
2004-08-10,2004-08-10,9,"Alternative A, Alternative B, Alternative C","(8), (9), (10), (12), (13), (15), (16), (17), (18)"
2004-09-21,2004-09-21,9,"Alternative A, Alternative B, Alternative C","(7), (8), (9), (10), (11), (12), (14), (15), (16)"
2004-11-10,2004-11-10,8,"Alternative A, Alternative B, Alternative C","(8), (10), (11), (12), (13), (15), (16), (18)"
2004-12-14,2004-12-14,8,"Alternative A, Alternative B, Alternative C","(9), (10), (11), (12), (13), (15), (16), (17)"
2005-02-01,2005-02-02,9,"Alternative A, Alternative B, Alternative C","(13), (14), (15), (16), (17), (18), (19), (20), (22)"
2005-03-22,2005-03-22,8,"Alternative A, Alternative B, Alternative C","(9), (11), (12), (13), (14), (15), (16), (17)"
2005-05-03,2005-05-03,10,"Alternative A, Alternative B, Alternative C","(9), (10), (12), (13), (14), (15), (16), (17), (18), (19)"
2005-06-29,2005-06-30,10,"Alternative A, Alternative B, Alternative C","(11), (12), (13), (14), (16), (17), (18), (19), (20), (21)"
2005-08-09,2005-08-09,10,"Alternative A, Alternative B, Alternative C","(9), (10), (11), (12), (13), (14), (15), (16), (17), (18)"
2005-09-20,2005-09-20,6,"Alternative A, Alternative B","(9), (10), (11), (13), (14), (16)"
2005-11-01,2005-11-01,7,"Alternative A, Alternative B, Alternative C","(9), (10), (11), (12), (13), (14), (15)"
2005-12-13,2005-12-13,9,"Alternative B, Alternative C","(9), (10), (11), (12), (13), (14), (15), (16), (17)"
2006-01-31,2006-01-31,8,"Alternative A, Alternative B, Alternative C","(13), (14), (15), (16), (17), (18), (19), (20)"
2006-03-27,2006-03-28,10,"Alternative A, Alternative B, Alternative C","(9), (10), (11), (12), (13), (14), (15), (16), (17), (19)"
2006-05-10,2006-05-10,12,"Alternative A, Alternative B, Alternative C","(9), (12), (13), (14), (15), (16), (17), (18), (19), (20), (21), (22)"
2006-06-28,2006-06-29,9,"Alternative A, Alternative B, Alternative C","(12), (13), (14), (15), (16), (17), (18), (19), (20)"
2006-08-08,2006-08-08,12,"Alternative A, Alternative B, Alternative C, Alternative D","(12), (13), (14), (15), (16), (17), (18), (19), (20), (21), (22), (23)"
2006-09-20,2006-09-20,9,"Alternative A, Alternative B, Alternative C","(9), (11), (12), (14), (15), (16), (18), (19), (20)"
2006-10-24,2006-10-25,8,"Alternative A, Alternative B, Alternative C","(16), (17), (19), (21), (22), (24), (25), (26)"
2006-12-12,2006-12-12,9,"Alternative A, Alternative B, Alternative C","(10), (11), (12), (13), (14), (15), (17), (18), (19)"
2007-01-30,2007-01-31,11,"Alternative A, Alternative B, Alternative C","(11), (14), (15), (16), (17), (18), (19), (20), (21), (22), (23)"
2007-03-20,2007-03-21,11,"Alternative A, Alternative B, Alternative C","(15), (16), (17), (18), (19), (20), (21), (22), (23), (24), (25)"
2007-05-09,2007-05-09,8,"Alternative A, Alternative B, Alternative C","(12), (13), (14), (15), (16), (17), (19), (20)"
2007-06-27,2007-06-28,7,"Alternative A, Alternative B, Alternative C","(16), (17), (18), (19), (21), (23), (24)"
2007-08-07,2007-08-07,9,"Alternative A, Alternative B, Alternative C","(17), (18), (19), (20), (21), (22), (24), (25), (26)"
2007-09-18,2007-09-18,13,"Alternative A, Alternative B, Alternative C, Alternative D","(19), (20), (21), (22), (23), (24), (25), (26), (27), (28), (29), (30), (31)"
2007-10-30,2007-10-31,8,"Alternative A, Alternative B, Alternative C","(18), (19), (20), (22), (23), (24), (25), (26)"
2007-12-11,2007-12-11,8,"Alternative A, Alternative B, Alternative C","(16), (17), (18), (19), (20), (21), (23), (24)"
2008-01-29,2008-01-30,12,"Alternative A, Alternative B, Alternative C, Alternative D","(16), (17), (18), (19), (20), (21), (22), (24), (25), (26), (27), (28)"
2008-03-18,2008-03-18,12,"Alternative A, Alternative B, Alternative C, Alternative D","(25), (26), (27), (28), (30), (31), (32), (33), (34), (35), (36), (37)"
2008-04-29,2008-04-30,10,"Alternative A, Alternative B, Alternative C","(22), (23), (24), (25), (26), (27), (28), (29), (30), (31)"
2008-06-24,2008-06-25,10,"Alternative A, Alternative B, Alternative C, Alternative D","(21), (23), (24), (25), (26), (27), (28), (29), (30), (31)"
2008-08-05,2008-08-05,7,"Alternative B, Alternative C, Alternative D","(26), (27), (28), (29), (30), (31), (32)"
2008-09-16,2008-09-16,10,"Alternative A, Alternative B, Alternative C","(22), (23), (24), (25), (26), (27), (28), (29), (30), (31)"
2008-10-28,2008-10-29,9,"Alternative A, Alternative B, Alternative C","(33), (34), (35), (36), (37), (38), (40), (41), (42)"
2008-12-15,2008-12-16,19,"Alternative A, Alternative B, Alternative C, Alternative D","(28), (29), (30), (31), (32), (34), (35), (36), (37), (38), (40), (41), (42), (43), (44), (49), (50), (51), (52)"
2009-01-27,2009-01-28,6,"Alternative A, Alternative B, Alternative C","(39), (40), (41), (42), (43), (47)"
2009-03-17,2009-03-18,12,"Alternative A, Alternative B, Alternative C, Alternative D","(39), (40), (41), (42), (43), (44), (47), (48), (51), (52), (53), (57)"
