year,quarter,macro_variable,number
1978,Q2,      Private (% change) [q_sfp72],6.2
1978,Q3,      Private (% change) [q_sfp72],4.0
1978,Q4,      Private (% change) [q_sfp72],4.6
1979,Q1,      Private (% change) [q_sfp72],4.4
1979,Q2,      Private (% change) [q_sfp72],3.8
1977,Q3,  GNP implicit deflator (% change) [q_pgdp],4.8
1977,Q4,  GNP implicit deflator (% change) [q_pgdp],5.9
1978,Q1,  GNP implicit deflator (% change) [q_pgdp],7.2
1978,Q2,  GNP implicit deflator (% change) [q_pgdp],7.4
1978,Q3,  GNP implicit deflator (% change) [q_pgdp],6.7
1978,Q4,  GNP implicit deflator (% change) [q_pgdp],7.1
1979,Q1,  GNP implicit deflator (% change) [q_pgdp],6.9
1979,Q2,  GNP implicit deflator (% change) [q_pgdp],6.4
1977,Q3,  Gross business product f-w price index (% change) [q_pxbus_fw],5.0
1977,Q4,  Gross business product f-w price index (% change) [q_pxbus_fw],5.4
1978,Q1,  Gross business product f-w price index (% change) [q_pxbus_fw],7.4
1978,Q2,  Gross business product f-w price index (% change) [q_pxbus_fw],7.3
1978,Q3,  Gross business product f-w price index (% change) [q_pxbus_fw],6.8
1978,Q4,  Gross business product f-w price index (% change) [q_pxbus_fw],6.8
1979,Q1,  Gross business product f-w price index (% change) [q_pxbus_fw],7.4
1979,Q2,  Gross business product f-w price index (% change) [q_pxbus_fw],7.0
1977,Q3,  Nominal personal income (% change) [q_yp],8.9
1977,Q4,  Nominal personal income (% change) [q_yp],14.5
1978,Q1,  Nominal personal income (% change) [q_yp],8.9
1978,Q2,  Nominal personal income (% change) [q_yp],12.0
1978,Q3,  Nominal personal income (% change) [q_yp],12.0
1978,Q4,  Nominal personal income (% change) [q_yp],11.3
1979,Q1,  Nominal personal income (% change) [q_yp],10.3
1979,Q2,  Nominal personal income (% change) [q_yp],10.1
1977,Q3,    Wage and salary disbursements (% change) [q_wsd],7.5
1977,Q4,    Wage and salary disbursements (% change) [q_wsd],12.7
1978,Q1,    Wage and salary disbursements (% change) [q_wsd],10.9
1978,Q2,    Wage and salary disbursements (% change) [q_wsd],11.3
1978,Q3,    Wage and salary disbursements (% change) [q_wsd],9.9
1978,Q4,    Wage and salary disbursements (% change) [q_wsd],11.0
1979,Q1,    Wage and salary disbursements (% change) [q_wsd],11.8
1979,Q2,    Wage and salary disbursements (% change) [q_wsd],10.1
1977,Q3,  Disposable personal income (% change) [q_yd],10.0
1977,Q4,  Disposable personal income (% change) [q_yd],14.1
1978,Q1,  Disposable personal income (% change) [q_yd],9.5
1978,Q2,  Disposable personal income (% change) [q_yd],11.2
1978,Q3,  Disposable personal income (% change) [q_yd],11.1
1978,Q4,  Disposable personal income (% change) [q_yd],15.4
1979,Q1,  Disposable personal income (% change) [q_yd],10.9
1979,Q2,  Disposable personal income (% change) [q_yd],9.5
1977,Q3,  Corporate profits before tax (% change) [q_zb],-2.7
1977,Q4,  Corporate profits before tax (% change) [q_zb],12.6
1978,Q1,  Corporate profits before tax (% change) [q_zb],5.1
1978,Q2,  Corporate profits before tax (% change) [q_zb],30.3
1978,Q3,  Corporate profits before tax (% change) [q_zb],6.5
1978,Q4,  Corporate profits before tax (% change) [q_zb],23.3
1979,Q1,  Corporate profits before tax (% change) [q_zb],-0.1
1979,Q2,  Corporate profits before tax (% change) [q_zb],7.6
1977,Q3,  Nonfarm payroll employment (% change) [q_payrlem],3.3
1977,Q4,  Nonfarm payroll employment (% change) [q_payrlem],3.2
1978,Q1,  Nonfarm payroll employment (% change) [q_payrlem],4.4
1978,Q2,  Nonfarm payroll employment (% change) [q_payrlem],4.0
1978,Q3,  Nonfarm payroll employment (% change) [q_payrlem],2.2
1978,Q4,  Nonfarm payroll employment (% change) [q_payrlem],2.9
1979,Q1,  Nonfarm payroll employment (% change) [q_payrlem],2.8
1979,Q2,  Nonfarm payroll employment (% change) [q_payrlem],2.9
1977,Q3,    Manufacturing (% change) [q_payrlemmfg],1.3
1977,Q4,    Manufacturing (% change) [q_payrlemmfg],2.7
1978,Q1,    Manufacturing (% change) [q_payrlemmfg],6.4
1978,Q2,    Manufacturing (% change) [q_payrlemmfg],4.2
1978,Q3,    Manufacturing (% change) [q_payrlemmfg],4.4
1978,Q4,    Manufacturing (% change) [q_payrlemmfg],4.5
1979,Q1,    Manufacturing (% change) [q_payrlemmfg],4.4
1979,Q2,    Manufacturing (% change) [q_payrlemmfg],4.1
1977,Q3,    Output per hour (% change) [q_opm],3.8
1977,Q4,    Output per hour (% change) [q_opm],0.5
1978,Q1,    Output per hour (% change) [q_opm],-0.3
1978,Q2,    Output per hour (% change) [q_opm],3.1
1978,Q3,    Output per hour (% change) [q_opm],2.6
1978,Q4,    Output per hour (% change) [q_opm],2.4
1979,Q1,    Output per hour (% change) [q_opm],2.4
1979,Q2,    Output per hour (% change) [q_opm],2.0
1977,Q3,    Compensation per hour (% change) [q_comphr],7.5
1977,Q4,    Compensation per hour (% change) [q_comphr],7.3
1978,Q1,    Compensation per hour (% change) [q_comphr],11.5
1978,Q2,    Compensation per hour (% change) [q_comphr],7.9
1978,Q3,    Compensation per hour (% change) [q_comphr],8.2
1978,Q4,    Compensation per hour (% change) [q_comphr],8.3
1979,Q1,    Compensation per hour (% change) [q_comphr],11.6
1979,Q2,    Compensation per hour (% change) [q_comphr],8.2
1977,Q3,    Unit labor costs (% change) [q_ulcnf],3.5
1977,Q4,    Unit labor costs (% change) [q_ulcnf],6.8
1978,Q1,    Unit labor costs (% change) [q_ulcnf],11.8
1978,Q2,    Unit labor costs (% change) [q_ulcnf],4.8
1978,Q3,    Unit labor costs (% change) [q_ulcnf],5.6
1978,Q4,    Unit labor costs (% change) [q_ulcnf],5.9
1979,Q1,    Unit labor costs (% change) [q_ulcnf],9.2
1979,Q2,    Unit labor costs (% change) [q_ulcnf],6.2
1977,Q3,  Industrial production (% change) [q_jrfb],4.2
1977,Q4,  Industrial production (% change) [q_jrfb],2.6
1978,Q1,  Industrial production (% change) [q_jrfb],1.2
1978,Q2,  Industrial production (% change) [q_jrfb],10.1
1978,Q3,  Industrial production (% change) [q_jrfb],6.9
1978,Q4,  Industrial production (% change) [q_jrfb],7.6
1979,Q1,  Industrial production (% change) [q_jrfb],7.5
1979,Q2,  Industrial production (% change) [q_jrfb],6.0
1977,Q3,"  Housing starts, private (% change) [q_hs]",22.1
1977,Q4,"  Housing starts, private (% change) [q_hs]",22.3
1978,Q1,"  Housing starts, private (% change) [q_hs]",-55.8
1978,Q2,"  Housing starts, private (% change) [q_hs]",88.3
1978,Q3,"  Housing starts, private (% change) [q_hs]",-33.7
1978,Q4,"  Housing starts, private (% change) [q_hs]",-10.4
1979,Q1,"  Housing starts, private (% change) [q_hs]",0.0
1979,Q2,"  Housing starts, private (% change) [q_hs]",0.0
1977,Q3,  New auto sales (% change) [q_slau],-24.1
1977,Q4,  New auto sales (% change) [q_slau],-6.2
1978,Q1,  New auto sales (% change) [q_slau],2.0
1978,Q2,  New auto sales (% change) [q_slau],1.8
1978,Q3,  New auto sales (% change) [q_slau],1.9
1978,Q4,  New auto sales (% change) [q_slau],5.6
1979,Q1,  New auto sales (% change) [q_slau],1.8
1979,Q2,  New auto sales (% change) [q_slau],-5.3
1977,Q3,      Domestic (% change) [q_slauna],-18.4
1977,Q4,      Domestic (% change) [q_slauna],-4.8
1978,Q1,      Domestic (% change) [q_slauna],1.4
1978,Q2,      Domestic (% change) [q_slauna],-2.4
1978,Q3,      Domestic (% change) [q_slauna],7.0
1978,Q4,      Domestic (% change) [q_slauna],9.3
1979,Q1,      Domestic (% change) [q_slauna],2.2
1979,Q2,      Domestic (% change) [q_slauna],-2.2
1977,Q3,      Foreign (% change) [q_slaufr],-43.9
1977,Q4,      Foreign (% change) [q_slaufr],-12.3
1978,Q1,      Foreign (% change) [q_slaufr],4.7
1978,Q2,      Foreign (% change) [q_slaufr],21.6
1978,Q3,      Foreign (% change) [q_slaufr],-17.7
1978,Q4,      Foreign (% change) [q_slaufr],-9.6
1979,Q1,      Foreign (% change) [q_slaufr],0.0
1979,Q2,      Foreign (% change) [q_slaufr],-19.0
