start_date,end_date,Header1,Header2,Header3,Header4,Header5,Header6,Header7,Header8,Header9,Header10,Header11
1983-03-28,1983-03-29,"Prospective developments","C
April
May
June
Growth Rates
Monthly
April
May
June
Dec. to March
March to June
Growth Rates
Quarterly Average","However, a deceleration
to the pace of B or A might be accomplished with stable or declining","Directive language",,,,,,,
1983-05-24,1983-05-24,"Long-term targets","Policy alternatives for the short run","In
foreign exchange markets, a drop in short rates here would help reverse
the rise in the dollar of recent days, but it is doubtful that the dollar
would drop very substantially, given the continuing attractiveness of
dollar assets and the probability of some easing action by foreign central","Directive language",,,,,,,
1983-07-12,1983-07-13,"Against that background, and with an unusually
large and rising high employment federal deficit for the second year of an
economic recovery in prospect, and increase in monetary growth ranges would
probably raise the odds on a strengthening in inflationary pressures and","Monetary strategies over the next few years","Policy alternatives for the short run","Banks and
thrift institutions may continue to rely more heavily than in the early
part of this year on issuance of large CDs, as loan demands tend to
strengthen in reflection of the more rapid pace now evident in economic","However, some
pick-up in bond offerings from the relatively moderate June pace might
be expected, particularly if the bond market shows signs of a decline in","Directive language",,,,,
1983-08-23,1983-08-23,"Prospective developments",,,,,,,,,,
1983-10-04,1983-10-04,"",,,,,,,,,,
1983-11-14,1983-11-15,"Prospective developments","Directive language",,,,,,,,,
1983-12-19,1983-12-20,"The
rate of increase in federal indebtedness is anticipated to slow a little in
percent of funds raised in U.S. credit markets by domestic nonfinancial","Prospective developments","While long-term market rates
may change little on balance over the intermeeting period, mortgage yields
might rise somewhat in lagged response to earlier increases in market","Indeed, if economic expansion slowed as the year progresses to
a pace below, say, the staff's current forecast, interest rates would
probably need to decline later to maintain money growth at a satisfactory
Directive language",,,,,,,
1984-01-30,1984-01-31,"Private short-term rates are off about","Long-run ranges","Directive language",,,,,,,,
1984-03-26,1984-03-27,"Prospective developments","Directive language",,,,,,,,,
1984-05-21,1984-05-22,"In the household sector, growth in consumer credit was at a
generally strong in April; mortgage borrowing also appears to have remained","An increase in dollar interest rates relative to foreign
rates--together with industrial unrest in Europe, especially Germany, and
conflict in the Persian Gulf--apparently have contributed to the dollar's
Prospective developments","Nonborrowed
reserves would be expected to contract slightly on average in May and","Directive language",,,,,,,
1984-07-16,1984-07-17,"Short-run alternatives","Directive language",,,,,,,,,
1984-08-21,1984-08-21,"Prospective developments","The
dollar would tend to appreciate further on exchange markets, at least","Directive language",,,,,,,,
1984-10-02,1984-10-02,"Prospective developments","With upward pressures reemerging in short-term markets, longer-term
yields can be expected to retrace some of the declines since early summer,
leading to further reductions in demands for mortgage credit as well as
to shifts in borrowing by businesses back toward short-term markets--and
also possibly to reconsideration of over-all borrowing and spending
Directive language",,,,,,,,,
1984-11-07,1984-11-07,"Prospective developments","Directive language",,,,,,,,,
1984-12-17,1984-12-18,"Prospective developments","Directive language",,,,,,,,,
1985-02-12,1985-02-13,"In light of the new
conditions affecting the reaction of both the public in their asset
preferences and depository institutions in their deposit pricing and
overall liability management, it is problematic to rely heavily on past
experience, and models of that experience, in estimating the interest and
income elasticities of money demand as well as the pace of financial","Prospective near-term developments","Federal debt
issuance is expected to be relatively large over the balance of the","In exchange markets, the dollar would be likely to come under downward","Directive language",,,,,,
1985-03-26,1985-03-26,"Prospective developments","Directive language",,,,,,,,,
1985-05-21,1985-05-21,"Prospective developments","B","Directive language",,,,,,,,
1985-07-09,1985-07-10,"Issuance of debt by
state and local governments has been quite heavy as refunding issues have","Long-run targets","Near-term policy alternatives",,,,,,,,
1985-08-20,1985-08-20,"Policy alternatives","Financing demands can be expected to strengthen, though
much of this may fall on the open market rather than banks as bond yields
decline and rising stock prices increase the attractiveness of equity
Directive language",,,,,,,,,
1985-10-01,1985-10-01,"As the dollar declines, interest rates could come under further upward
pressure, reflecting market concerns that more attractive returns would
be required on U.S. securities at a time when external financing needs
remained large and foreign investors may come to expect further exchange","Directive language",,,,,,,,,
1985-11-04,1985-11-05,"Policy alternatives","C
Growth Rates
Monthly
Growth Rates","Directive language",,,,,,,,
1985-12-16,1985-12-17,"Broad stock price measures have risen substantially since the last","Policy alternatives","Directive language",,,,,,,,
1986-02-11,1986-02-12,"Long-run targets","Short-run policy alternatives","Long-term rates would also rise, at least in the
short-run, particularly if the current Treasury refunding were not well","Directive language",,,,,,,
1986-04-01,1986-04-01,"Policy alternatives","Directive language",,,,,,,,,
1986-05-20,1986-05-20,"Policy alternatives","With U.S. interest rates rising relative to foreign
rates, the dollar would be likely to strengthen on foreign exchange
Directive language",,,,,,,,,
1986-07-08,1986-07-09,"It may also be that the increased volume of financial transactions--especially
heightened mortgage market activity-has contributed to increases in demand","Long-term targets","Near-term policy alternatives","Directive language",,,,,,,
1986-08-19,1986-08-19,"Policy alternatives","Inflows to institution-only money funds should abate
in response to the realignment of fund yields with market rates, and the
expected deceleration in bank credit would act to reduce issuance of managed","From its fourth-quarter
base, debt is projected to stay well above the upper end of its monitoring
range through the third quarter and to remain above the upper end of its
range for the year, despite sane further moderation expected in the fourth","A firmer tone to the dollar and a reassessment of the inflation out-
look could act to limit somewhat the accompanying rise in long-term interest
Directive language",,,,,,,
1986-09-23,1986-09-23,"Policy alternatives","Thrifts' asset
expansion, meanwhile, is expected to pick up only marginally in coming","Directive language",,,,,,,,
1986-11-05,1986-11-05,"Policy alternatives","Directive language",,,,,,,,,
1986-12-15,1986-12-16,"The relative strength of the mark has increased pressures
in the EMS,
Policy alternatives","Directive language",,,,,,,,,
1987-02-10,1987-02-11,"In addition, banks stepped up their issuance of managed
liabilities, especially CDs, over the two months to help fund the rise in","Long-run ranges","Short-run policy alternatives","In the context of a weaker dollar, and
possibly greater concern about inflation, the scope for long-term rates to
fall might be limited; however, should the easing in money markets be followed
by economic indicators pointing to a weaker economy and less inflationary
pressure than is now expected, long-term rates would be more likely to fall","Directive language",,,,,,
1987-03-31,1987-03-31,"Policy alternatives","Absent indicators pointing
to a much weaker economy, the pressure on the dollar and perhaps more
concern about inflation might limit the extent of any decline in long-term",,,,,,,,,
1987-05-19,1987-05-19,"Policy alternatives","Directive language",,,,,,,,,
1987-07-07,1987-07-07,"Short-run policy alternatives","Directive language","Draft language for the operational paragraph is shown in para-
graph",,,,,,,,
1987-08-18,1987-08-18,"Policy alternatives","Directive language",,,,,,,,,
1987-09-22,1987-09-22,"The
change in thrift funding patterns likely reflects reduced reliance on FHLB
advances as well as increased acquisitions of adjustable-rate mortgages, which
are less readily securitized and financed through RPs than are fixed-rate","The Treasury's cash balance surged after mid-month, reflecting unusually
large quarterly tax receipts from corporations, as well as payments by
Policy alternatives",,,,,,,,,
1987-11-03,1987-11-03,"In these circumstances the borrowing-funds rate relationships given
in paragraph","Directive language",,,,,,,,,
1987-12-15,1987-12-16,"After
expanding at a double-digit pace in October, total and nonborrowed
reserves contracted in November, owing to a drop in required reserves
associated primarily with the reversal of the post-crash bulge in
transactions accounts, and to a lower average level of excess reserve","Policy alternatives","In constructing the alternatives, the staff has assumed that, if finan-
cial markets remain unusually sensitive and instability in the borrowing
relationship persists, the borrowing objective will continue to be
interpreted with some degree of flexibility in implementing open market","If inflationary concerns in
financial markets are intensified, declines in bond yields may be",,,,,,,
1988-02-09,1988-02-10,"Long-run alternatives","If, for example, circumstances
called for a rise in interest rates beginning in the first half of the year,
money growth later in the year might need to be around, or even below, the
lower end of the alternative II ranges, accelerating relatively little from
reduction in ranges would underscore the Committee's intention to resist
inflation pressures, should they arise, and continue to move toward price","Directive language",,,,,,,,
1988-03-29,1988-03-29,"Policy alternatives","Such changes
could include the normal pattern of seasonal credit as well as other","C","The dollar could come under substantial downward
pressures, particularly if concerns about inflation and external adjustment",,,,,,,
1988-05-17,1988-05-17,"Long-term rates
abroad, especially in Germany, rose somewhat, partly on expectations that
monetary authorities might tighten following the rise in U.S. interest","Policy Alternatives",,,,,,,,,
1988-06-29,1988-06-30,"The moderate growth of this aggregate in the face of fairly
rapid expansion of bank credit reflected heavier reliance on nondeposit
sources--especially borrowings from foreign branches--to fund credit","In particular, inflows
to banks from their foreign branches dropped off sharply compared with","Long-run Ranges","Short-run Policy Alternatives","A back-up in yields would
be reinforced if the dollar came under some downward pressure, for example,
because incoming data suggested a less rapid pace of reduction in external","Directive language",,,,,
1988-08-16,1988-08-16,"Policy Alternatives","Nonetheless, this relationship is more uncertain than usual, given
the effects of the drought in boosting the ratio of final sales to current
income; on the one hand, for a given level of income, higher nominal pur-
chases would tend to increase transactions demands for money and depress
income velocity; on the other, in order to finance these purchases saving
flows and associated acquisitions of financial assets, including those in
the monetary aggregates, would be reduced, tending to raise income","Directive language",,,,,,,,
1988-09-20,1988-09-20,"Since the fourth quarter of","Policy alternatives","In addition, bond yields may have been held down by a
paucity of supply, which could be reversed by congressional passage of
long-bond authorization for the Treasury or by decisions by corporations or
state and local governments to take advantage of recently reduced long-term","Directive language",,,,,,,
1988-11-01,1988-11-01,"Policy Alternatives","C","Directive Language",,,,,,,,
1988-12-13,1988-12-14,"Policy Alternatives","Directive Language",,,,,,,,,
1989-02-07,1989-02-08,"Longer-run strategies","In addi-
tion, the unpredictable outlook for corporate restructuring activity,
which might be affected by, among other things, actual or proposed legis-
lative action, adds to uncertainties with respect to growth of debt and","Short-run policy alternatives","C","Directive language",,,,,,
1989-03-28,1989-03-28,"Policy alternatives","Directive language",,,,,,,,,
1989-05-16,1989-05-16,"Policy Alternatives",,,,,,,,,,
1989-07-05,1989-07-06,"Long-Run Strategies","Directive Language",,,,,,,,,
1989-08-22,1989-08-22,"",,,,,,,,,,
1989-10-03,1989-10-03,"Policy Alternatives","C",,,,,,,,,
1989-11-14,1989-11-14,"Policy Alternatives","The exchange value of the dollar could exhibit
little net change over the intermeeting period under alternative B, though
any policy tightening abroad may tend to exert downward pressure on the","B","Directive Language",,,,,,,
1989-12-18,1989-12-19,"Policy Alternatives","C","Directive Language",,,,,,,,
1990-02-06,1990-02-07,"A re-
direction of global asset demands, particularly out of Japan, to take
advantage of the higher expected real returns associated with those
opportunities would be consistent with investors requiring higher real
returns in U.S. markets and elsewhere, as well as with the observed
weakening of both the dollar and the yen against continental European","Long-run strategies","Short-run policy alternatives","Directive language",,,,,,,
1990-03-27,1990-03-27,"Market
concerns about financial strains on some institutions evidently have made
banks even more chary of being seen at the window, and needs for liquidity
have been held down by sluggish loan demand and robust inflows of retail","Treasury
bond yields, though fluctuating over a fairly wide range, fell slightly on
balance over the period, despite increases in long-term rates in other
major countries, which reflected importantly increases in inflation
expectations, as discussed below in paragraph","Policy Alternatives","The addi-
tional policy restraint might reinforce current concerns about default
risk on some loan categories, and would tend to encourage a further firm-
ing in credit standards, implying additional restraint on economic","Directive Language",,,,,,
1990-05-15,1990-05-15,"Policy Alternatives","C","Directive Language",,,,,,,,
1990-07-02,1990-07-03,"Alternative Long-Run Strategies","With adjustment of
model for velocity
shifts
Long-Run Ranges","Directive Language","Draft wording for the
operational paragraph, with the usual options and updating, is presented
in paragraph",,,,,,,
1990-08-21,1990-08-21,"Although Treasury securities benefited from a flight to
quality for a time in early August, there has been little net change in
spreads between money market rates, or between rates in longer-term","Policy Alternatives","Finally, for as long as energy supplies are reduced, labor produc-
tivity and the economy's potential output associated with a fully employed
labor force will be lowered, with the amount of the reduction dependent on
the adaptability of the capital stock to less energy-intensive production","Directive Language",,,,,,,
1990-10-02,1990-10-02,"Policy Alternatives","Directive Language",,,,,,,,,
1990-11-13,1990-11-13,"Monetary Policy Alternatives","Directive Language",,,,,,,,,
1990-12-18,1990-12-18,"Policy Alternatives","The potential for volatility in the funds rate under alternative A would
be reduced a little if instead this alternative were implemented through a","Directive Language",,,,,,,,
1991-02-05,1991-02-06,"So far in the current maintenance period, clearing
demands for balances have pulled the funds rate up to an average of about","Long-Run Strategies","Short-Run Policy Alternatives","Directive Language",,,,,,,
1991-03-26,1991-03-26,"Bank stock prices were
about unchanged over the period, but spreads on subordinated bank debt
have narrowed substantially--drawing forth some issuance--and the access
of lower-rated banks to the federal funds market has become a bit less","Policy Alternatives","In this environment, the dollar would be subject to further upward","Directive Language",,,,,,,
1991-05-14,1991-05-14,"Prices of bank
debt and equity outpaced the broader averages, reflecting the anticipated
effects of lower interest rates on bank profitability as well as first-
quarter earnings reports that, in general, were not as bad as had been","Widening spreads between rates on
mortgage and consumer debt, on the one hand, and those on household
assets, on the other, may be encouraging some deleveraging of this
Policy Alternatives","B","Directive Language",,,,,,,
1991-07-02,1991-07-03,"No shifts are
Long-Run Ranges","The value of the dollar on foreign exchange markets likely would decline","Directive Language",,,,,,,,
1991-08-20,1991-08-20,"Federal funds have averaged a bit above this level in recent","Policy Alternatives","Directive Language",,,,,,,,
1991-10-01,1991-10-01,"Policy Alternatives",,,,,,,,,,
1991-11-05,1991-11-05,"Policy Alternatives","B",,,,,,,,,
1991-12-17,1991-12-17,"Inflows to bond and stock mutual funds, which
again were very heavy in October, are said to have remained robust in","Policy Alternatives","Directive Language",,,,,,,,
1992-02-04,1992-02-05,"At thrifts, the decline in
large time deposits has abated some since November, as total thrift
assets likely fell less steeply since RTC resolution activity remained","P* Model Simulation of Inflation
CPI
(QIV to QIV percent change)
I (baseline)
II (tighter)
III (easier)
With adjustments for
velocity shifts
I (baseline)
II (tighter)
III (easier)
Long-Run Ranges","Tunnel Option","The tunnel could be tilted downwards by selecting a
lower growth rate; such an adjustment might better convey the Federal
Reserve's continued commitment to the eventual achievement of price
stability, but it probably would still require a marked easing of","Short-run Policy Alternatives","If
rates were to edge down, the dollar might come under some downward
pressure, but it is not expected to change significantly under this","B","Directive Language",,,
1992-03-31,1992-03-31,"Policy Alternatives","In either case, the dollar would",,,,,,,,,
1992-05-19,1992-05-19,"Directive Language",,,,,,,,,,
1992-06-30,1992-07-01,"The Desk did not","Long-Run Ranges","Alternative longer-run strategies","Short-Run Policy Alternatives","Directive Language",,,,,,
1992-08-18,1992-08-18,"Policy Alternatives","Alternative C involves a return of the federal funds rate to","Directive Language",,,,,,,,
1992-10-06,1992-10-06,"Directive Language",,,,,,,,,,
1992-11-17,1992-11-17,"Short-Run Policy Alternatives","Directive Language",,,,,,,,,
1992-12-22,1992-12-22,"The foreign exchange value of the dollar would likely rise",,,,,,,,,,
1993-02-02,1993-02-03,"The Com-
mittee could choose to retain the current range but announce its
willingness to accept a shortfall if velocity were again to increase
Short-Run Policy Alternatives","Directive Language",,,,,,,,,
1993-03-23,1993-03-23,"In Japan, short-term rates and the bellwether bond yield declined about","Policy alternatives","Directive language",,,,,,,,
1993-05-18,1993-05-18,"Directive language",,,,,,,,,,
1993-07-06,1993-07-07,"Long-Run Ranges","Federal debt expansion is expected to decelerate to","Short-Run Policy Alternatives","Directive Language","The behavior of the mone-
tary aggregates will continue to be evaluated in the light of
progress toward price level stability, movements in their
velocities, and developments in the economy and financial",,,,,,
1993-08-17,1993-08-17,"Policy Alternatives","The dollar should trade around recent levels on foreign
exchange markets, with any downward pressure from possible declines in
U.S. interest rates being balanced by projected reductions in rates",,,,,,,,,
1993-09-21,1993-09-21,"Under alternative C, the federal funds rate would rise to","Directive Language",,,,,,,,,
1993-11-16,1993-11-16,"Policy Alternatives","Directive Language",,,,,,,,,
1993-12-21,1993-12-21,"C","In addition, amounts and
patterns of tax payments, and associated adjustments in money hold-
ings, could be atypical, given the uncertain effects of the new tax","Directive Language",,,,,,,,
1994-02-03,1994-02-04,"To meet these needs,
the Desk arranged a number of rounds of term System repurchase agree-
ments and, as a result, federal funds continued to trade at around","The responses shown are intended to be il-
lustrative of actions that might be taken by a policymaker who places
some weight on both inflation and unemployment in the intermediate","Long-Run Ranges","Short-Run Policy Alternatives",,,,,,,
1994-03-22,1994-03-22,"Such an assessment could be based on a sense that
recent data suggested less momentum in the economy or on a judgment
that the behavior of costs and broad price indexes has been indicating
a greater degree of slack in the economy than embodied in the staff","Directive Language",,,,,,,,,
1994-05-17,1994-05-17,"As capital market prices have
dropped, firms have cut back on bond and stock issuance: mounting
external financing needs have been concentrated more on commercial","Directive Language",,,,,,,,,
1994-07-05,1994-07-06,"Alternative Long-Run Scenarios","Long-Run Ranges",,,,,,,,,
1994-08-16,1994-08-16,"Monetary Policy Alternatives","Directive Language",,,,,,,,,
1994-09-27,1994-09-27,"Monetary Policy Alternatives","Absent unanticipated changes in
policy abroad, the foreign exchange value of the dollar most likely
would remain around its current level, though it could come under some
downward pressure if inflation expectations began to deteriorate",,,,,,,,,
1994-11-15,1994-11-15,"This aggregate increased at a
fast clip to finance strong growth of loans and to replace a runoff in
nondeposit sources, which had been expanding rapidly earlier in the
year; banks also reduced their holdings of securities to fund loan","Policy Alternatives","Directive Language",,,,,,,,
1994-12-20,1994-12-20,"More generally, many risk premiums have
edged higher over the intermeeting period, but remain thin by
historical norms, and some measures of expected volatility have","Policy Alternatives","Quality spreads could widen a bit as higher rates increased debt-ser-
vicing burdens and raised questions about the ongoing strength of the","Directive Language",,,,,,,
1995-01-31,1995-02-01,"Of course, it is pos-
sible that long-term rates might move sooner and by more in anticipa-
tion of substantial forthcoming fiscal restraint, with potential im-
plications for the conduct of monetary policy that are discussed","Long-Run Ranges","The higher short-term rates of the
tighter strategy are associated with an elevated path for long-term
rates as well, but much of their effects on spending is not felt until
relatively larger effects on the composition of financial flows this
year, and hence on some of the monetary aggregates under the two","Short-Run Policy Alternatives","Banks likely would hike the prime rate by a commensurate amount and
might become somewhat more cautious in their other lending terms and
standards as they saw a slowing in economic growth as more clearly in",,,,,,
1995-03-28,1995-03-28,"Policy alternatives","The tendency toward increasingly generous
provision of credit by banks and other institutional lenders might
well draw to a close as rising debt service burdens and the economic
slowdown begin to raise some cautionary flags about prospective credit
Directive Language",,,,,,,,,
1995-05-23,1995-05-23,"Monetary Policy Alternatives","C","Directive Language",,,,,,,,
1995-07-05,1995-07-06,"Also, the desk continued to monitor
closely the demand for excess reserves, which has run on the lean","May June June
Money and credit aggregates
Ml adjusted for
retail sweeps
Domestic nonfinancial
debt
Federal
Nonfederal
Bank credit
Reserve measures
Total reserves
Monetary base
Memo: (Millions of dollars)
Adjustment plus seasonal
borrowing
Excess reserves
Long-Run Scenarios","If bond markets were more forward looking, policy easing
would have to be spread out over a longer period to get the same","Short-Run Policy Alternatives","Under the easier policy stance
of alternative A, the intended federal funds rate would be reduced by","Against this back-
drop, and with very recent indicators suggesting a limit to near-term
weakness, the Committee may wish to see macroeconomic data accumulate
that call the staff forecast into question before deciding to ease","In these cir-
cumstances, market participants likely would continue to see inflation
risks as more muted and an intermediate-term policy ease as still a","Directive Language",,,
1995-08-22,1995-08-22,"With earnings reports
stronger than expected, major equity indexes finished the period","Against this
backdrop, the staff has presented the usual three alternative policy","C
Directive Language",,,,,,,,
1995-09-26,1995-09-26,"",,,,,,,,,,
1995-11-15,1995-11-15,"MONEY, CREDIT, AND RESERVE AGGREGATES
(Seasonally adjusted annual rates of growth)
QIV
to
Aug. Sept. Oct. Oct.
Money and credit aggregates
Adjusted for OCD sweeps
Domestic nonfinancial
debt
Federal
Nonfederal
Bank credit
Reserve measures
Nonborrowed reserves
Total reserves
Adjusted for OCD sweeps
Monetary base
Adjusted for OCD sweeps
Memo: (Millions of dollars)
Adjustment plus seasonal
borrowing
Excess reserves
Policy Alternatives","Such circumstances
could reinforce the desire to stand pat, awaiting clarification of the","Contingencies Regarding a Treasury Default","C
Levels in Billions
Directive Language",,,,,,,
1995-12-19,1995-12-19,"C
Levels in Billions
Directive Language",,,,,,,,,,
1996-01-30,1996-01-31,"Nor does the model incorporate
a significant long-term gain in potential output growth from reducing","Consequently, a
longer period of time during which the behavior of velocity can be
assessed under a variety of economic and financial circumstances is
probably required before much weight can be placed on those","Short-run Policy Alternatives","C
Directive Language",,,,,,,
1996-03-26,1996-03-26,"Under all these scenarios, the foreign exchange value of
the dollar would weaken, and especially so if inflation expectations","C",,,,,,,,,
1996-05-21,1996-05-21,"If such an effect occurred, it would substitute for some of
the need to sacrifice output to bring inflation back to the desired",,,,,,,,,,
1996-07-02,1996-07-03,"At its current level, however, the real funds rate
is only a little below its level last June, because part of the reduc-
tion in the nominal funds rate since then has been offset by declines
in short-term inflation expectations over the second half of last","Long-Run Ranges","II","Short-run Policy Alternatives","Directive Language",,,,,,
1996-08-20,1996-08-20,"The decline, reflecting a reassessment of the path of
real rates needed to keep inflation pressures contained, likely
reversed only a fraction of the run-up in long-term real rates since","Banks continue to pull back from their aggressive stance in seeking
consumer loans: In a recent survey, about half of the banks said that
they tightened their standards for approving credit card applications
and about a quarter tightened standards for other consumer installment","C
Directive Language",,,,,,,,
1996-09-24,1996-09-24,"C
Growth Rate
From To
Directive Language",,,,,,,,,,
1996-11-13,1996-11-13,"Growth of the total debt of
domestic nonfinancial sectors for the year through September was at a","In
any case, the dollar would most likely weaken on foreign exchange","C
Growth Rate
From To
Directive Language",,,,,,,,
1996-12-17,1996-12-17,"C
Growth Rate
From To
Directive Language",,,,,,,,,,
1997-02-04,1997-02-05,"Long-Run Scenarios","This simulation also makes no allowance for enhanced productivity as price stability is","Short-run Policy Alternatives","C
Directive Language",,,,,,,
1997-03-25,1997-03-25,"Policy Alternatives","C
Growth Rate
From To
Directive Language",,,,,,,,,
1997-05-20,1997-05-20,"Against
this backdrop, the recent runup in bond and stock prices may have reinforced the risk that the
economic expansion will remain robust on average over coming quarters, intensifying the
strain on resources and heightening inflation pressures by even more than is foreseen in the","It also would come as less of a
shock to market participants, lessening the likelihood of a sharp selloff in bond and stock",,,,,,,,,
1997-07-01,1997-07-02,"These developments were, on net, quite positive for equity
markets, which moved up sharply on balance over the intermeeting period to reach record","Annual Ranges for Money and Debt","Growth of Money and Debt and Alternative Ranges
(percent)
Memo: Nominal GDP","Short-run Policy Alternatives","In the context of evidence of a widening trade
deficit, these interest rate increases are not expected to contribute to upward pressure on the",,,,,,
1997-08-19,1997-08-19,"Policy Alternatives","In either case, equity prices
almost certainly would fall, as real interest rates rose, and the decline could be considerable if
capital losses spurred investors to reexamine their assumptions regarding the risks of equity",,,,,,,,,
1997-09-30,1997-09-30,"Policy Alternatives","C
Directive Language",,,,,,,,,
1997-11-12,1997-11-12,"Short-run Policy Alternatives","C
Directive Language",,,,,,,,,
1997-12-16,1997-12-16,"Moreover, they should be easily absorbed into
markets benefiting from demands for safer assets and from reduced borrowing by Asian
financial institutions to the extent they repay dollar liabilities with the proceeds of their asset",,,,,,,,,,
1998-02-03,1998-02-04,"Issues related to money and debt ranges","Short-Run Policy Alternatives","The dollar would be expected to trade around its levels of late, off some from its recent peak","Directive Language",,,,,,,
1998-03-31,1998-03-31,"As a consequence, inflation should be a little faster through the end of the
forecast period than in the previous Greenbook and would be poised to pick up further in","Most likely, financial markets
in troubled emerging economies would not be greatly affected if the action were seen as
limited and not portending a more generalized upward movement in rates in industrial","Directive Language",,,,,,,,
1998-05-19,1998-05-19,"Directive Language","C All Alternatives
Appendix: Equity Prices and Monetary Policy",,,,,,,,,
1998-06-30,1998-07-01,"However, it is not unusually flat relative to the slopes posted in the","Ranges for Money and Debt","Short-run Policy Alternatives","Moreover, developments abroad may not be wholly immune to
monetary policy actions within the United States, and the Committee might be willing to
delay action for a time, at the risk of a possible pickup in inflation, to avoid further
complicating the already unsteady situation in Asia and several non-Asian emerging market","Directive Language",,,,,,
1998-08-18,1998-08-18,"And lower rates, along with
somewhat less strength in the dollar, would benefit a number of foreign economies, even those
with currencies not tied to the dollar; for those in the latter group, credit-risk spreads would tend
to decline as concerns about foreign debt repayment abated a bit, and the tendency for their
currencies to appreciate would give them room to adopt a somewhat less restrictive monetary",,,,,,,,,,
1998-09-29,1998-09-29,"Directive Language",,,,,,,,,,
1998-11-17,1998-11-17,"",,,,,,,,,,
1998-12-22,1998-12-22,"Directive Language",,,,,,,,,,
1999-02-02,1999-02-03,"Ranges for Money and Debt","Short-Run Policy Alternatives","Directive Language",,,,,,,,
1999-03-30,1999-03-30,"Directive Language",,,,,,,,,,
1999-05-18,1999-05-18,"",,,,,,,,,,
1999-06-29,1999-06-30,"Jun. Jun.
Money and Credit Aggregates
Ml
Adjusted for sweeps
Domestic nonfinancial debt
Federal
Nonfederal
Bank credit
Adjusted'
Reserve Measures
Nonborrowed reserves
Total reserves
Adjusted for sweeps
Monetary base
Adjusted for sweeps
Memo: (millions of dollars)
Adjustment plus seasonal borrowing
Excess reserves
n.a.
n.a.
n.a.
Long-Term Strategies","In the absence of additional increases in
productivity growth or of declines in relative import and commodity prices, consumer price
inflation would continue to move up until the economy returns to a sustainable level of
resource utilization, which for labor markets in the model is represented by a NAIRU of","Ranges for Money and Debt","Ranges for Money and Debt","Short-Run Policy Alternatives","Equity prices might be
boosted for a while by declines in interest rates, but they could reverse any gains if,
consistent with the staff forecast, news on earnings proved to be disappointing in coming","Directive Language",,,,
1999-08-24,1999-08-24,"Moreover, recent developments may indicate that global financial markets are fragile, with
the potential for further deterioration as year-end approaches even absent a firming in","Directive Language",,,,,,,,,
1999-10-05,1999-10-05,"There was no intervention by U.S. monetary authorities over the intermeeting period","After the turn of the year, the advance of the broad
aggregates is predicted to be depressed for a few months as these temporary effects are
Directive Language",,,,,,,,,
1999-11-16,1999-11-16,"The Desk did not","Even if productivity gains do not
materialize, the possible cost of delaying a firming in policy until early next year may not be
considered especially large since longer-term inflation expectations appear to be well","In such a case, bond and stock prices could dip only","Directive Language",,,,,,,
1999-12-21,1999-12-21,"Directive Language",,,,,,,,,,
2000-02-01,2000-02-02,"As a result, portfolio balance considerations are assumed to
lead to a modest secular depreciation of the real foreign exchange value of the dollar over
the remainder of the decade, at about the same annual rate built into the Greenbook for","As inflation approaches its target, policy eases and real interest rates drift back
down to their equilibrium level, leading to a drift down in unemployment back to the","In the rule shown, the nominal funds rate is more
than twice as sensitive in the short run to a change in inflation as it is in the standard Taylor","Projections and Ranges for Money and Debt","Ranges for Money and Debt",,,,,,
2000-03-21,2000-03-21,"Directive and Balance of Risks Language",,,,,,,,,,
2000-05-16,2000-05-16,"Two basic alternatives are presented for consideration
by the Committee: Alternative C, under which the target federal funds rate would be raised","And, to
the extent that market participants extrapolate the gradual approach to policy tightening into
the future, expectations of further policy restraint will remain embedded in the structure of
market interest rates, still bringing forward in time the effects on spending of future policy",,,,,,,,,
2000-06-27,2000-06-28,"Credibility for
the new, lower inflation target builds gradually, helping to hold down output losses over","When the unemployment rate exceeds the natural rate, inflation slows and interest rates","Short-Run Policy Alternatives",,,,,,,,
2000-08-22,2000-08-22,"Futures markets have priced in virtually no chance of a
tightening at the August meeting and little change in the federal funds rate over the next","Short-Run Policy Alternatives","In the meantime, with costs contained and
long-term inflation expectations stable or even drifting a bit lower, the Committee might
expect to incur little economic cost by awaiting more information to help answer that","In this case, the immediate price response in financial
markets would be tempered, apart from an upward adjustment of short-term rates of around","Directive and Balance of Risks Language",,,,,,
2000-10-03,2000-10-03,"Debt of Domestic Nonfinancial Sectors
Total Annual
Growth Rate
Nonfederal Annual
Growth Rate
J A
Annual
Growth Rate","Directive and Balance-of-Risks Language",,,,,,,,,
2000-11-15,2000-11-15,"Directive and Balance-of-Risks Language",,,,,,,,,,
2000-12-19,2000-12-19,"An even larger effect could be
expected if the Committee instead announced that risks appeared to be weighted
toward economic weakness, as investors came to expect a greater cumulative easing of","Directive and Balance-of-Risks Language",,,,,,,,,
2001-01-30,2001-01-31,"In consequence, asset prices could give back some
of their recent gains while the dollar could even strengthen a bit on foreign exchange","Directive and Balance-of-Risks Language",,,,,,,,,
2001-03-20,2001-03-20,"Business debt growth should remain hefty as
external financing needs continue to be substantial, owing in part to the weakness in","Directive and Balance-of-Risks Language",,,,,,,,,
