start_date,end_date,TotalParagraphs,TotalRelevantParagraphs,alternatives_discussed,alternatives_parags
1992-12-22,1992-12-22,15,6,"Alternative A, Alternative B, Alternative C","(6), (7), (8), (9), (13), (14)"
1993-02-02,1993-02-03,29,7,"Alternative A, Alternative B, Alternative C","(20), (21), (22), (23), (25), (27), (28)"
1993-03-23,1993-03-23,14,5,"Alternative A, Alternative B, Alternative C","(7), (8), (9), (12), (14)"
1993-05-18,1993-05-18,18,9,"Alternative A, Alternative B, Alternative C","(8), (9), (10), (11), (13), (14), (15), (16), (17)"
1993-07-06,1993-07-07,34,5,"Alternative A, Alternative B, Alternative C","(24), (25), (26), (27), (29)"
1993-08-17,1993-08-17,15,8,"Alternative A, Alternative B, Alternative C","(6), (7), (8), (9), (11), (12), (13), (14)"
1993-09-21,1993-09-21,14,7,"Alternative A, Alternative B, Alternative C","(6), (7), (9), (10), (11), (12), (13)"
1993-11-16,1993-11-16,14,6,"Alternative A, Alternative B, Alternative C","(7), (9), (10), (11), (12), (13)"
1993-12-21,1993-12-21,15,8,"Alternative A, Alternative B, Alternative C","(6), (7), (9), (10), (11), (12), (13), (14)"
1994-02-03,1994-02-04,31,6,"Alternative A, Alternative B, Alternative C","(24), (25), (26), (27), (29), (30)"
1994-03-22,1994-03-22,18,7,"Alternative A, Alternative B, Alternative C","(8), (9), (10), (11), (12), (16), (17)"
1994-05-17,1994-05-17,17,5,"Alternative B, Alternative C, Alternative D","(10), (12), (13), (14), (16)"
1994-07-05,1994-07-06,33,5,"Alternative B, Alternative C, Alternative D","(26), (27), (28), (29), (31)"
1994-08-16,1994-08-16,17,8,"Alternative B, Alternative C, Alternative D","(6), (8), (9), (11), (12), (14), (15), (16)"
1994-09-27,1994-09-27,16,8,"Alternative B, Alternative C, Alternative D","(6), (8), (9), (10), (11), (13), (14), (15)"
1994-11-15,1994-11-15,17,5,"Alternative B, Alternative C","(7), (9), (12), (15), (16)"
1994-12-20,1994-12-20,17,7,"Alternative B, Alternative C","(7), (10), (11), (12), (14), (15), (16)"
1995-01-31,1995-02-01,33,8,"Alternative A, Alternative B, Alternative C","(8), (25), (26), (27), (28), (29), (31), (32)"
1995-03-28,1995-03-28,16,8,"Alternative A, Alternative B, Alternative C","(7), (8), (9), (10), (11), (12), (13), (14)"
1995-05-23,1995-05-23,18,10,"Alternative A, Alternative B, Alternative C","(7), (8), (9), (10), (11), (12), (13), (14), (16), (17)"
1995-07-05,1995-07-06,31,5,"Alternative A, Alternative B","(25), (26), (27), (28), (29)"
1995-08-22,1995-08-22,16,7,"Alternative A, Alternative B, Alternative C","(8), (9), (10), (11), (12), (13), (15)"
1995-09-26,1995-09-26,18,6,"Alternative A, Alternative B, Alternative C","(10), (11), (12), (14), (15), (17)"
1995-11-15,1995-11-15,20,7,"Alternative A, Alternative B, Alternative C","(9), (10), (11), (12), (13), (14), (15)"
1995-12-19,1995-12-19,19,8,"Alternative A, Alternative B, Alternative C","(9), (10), (11), (12), (13), (14), (15), (16)"
1996-01-30,1996-01-31,29,7,"Alternative A, Alternative B, Alternative C","(22), (23), (24), (25), (26), (27), (28)"
1996-03-26,1996-03-26,16,6,"Alternative A, Alternative B, Alternative C","(8), (9), (10), (11), (12), (13)"
1996-05-21,1996-05-21,14,3,"Alternative B, Alternative C","(10), (11), (12)"
1996-07-02,1996-07-03,24,4,"Alternative B, Alternative C","(19), (21), (22), (23)"
1996-08-20,1996-08-20,14,2,"Alternative B, Alternative C","(8), (11)"
1996-09-24,1996-09-24,14,4,"Alternative B, Alternative C","(8), (9), (10), (13)"
1996-11-13,1996-11-13,14,7,"Alternative A, Alternative B, Alternative C","(6), (7), (8), (9), (10), (11), (13)"
1996-12-17,1996-12-17,16,7,"Alternative A, Alternative B, Alternative C","(8), (9), (10), (11), (12), (13), (14)"
1997-02-04,1997-02-05,26,6,"Alternative A, Alternative B, Alternative C","(19), (20), (22), (23), (24), (25)"
1997-03-25,1997-03-25,14,4,"Alternative B","(7), (8), (12), (13)"
1997-05-20,1997-05-20,15,4,"Alternative B, Alternative C","(8), (9), (11), (14)"
1997-07-01,1997-07-02,38,5,"Alternative B, Alternative C","(32), (34), (35), (36), (37)"
1997-08-19,1997-08-19,12,5,"Alternative B, Alternative C","(6), (8), (9), (10), (11)"
1997-09-30,1997-09-30,12,5,"Alternative B, Alternative C","(6), (7), (8), (9), (10)"
1997-11-12,1997-11-12,14,3,"Alternative B, Alternative C","(9), (10), (12)"
1997-12-16,1997-12-16,16,5,"Alternative A, Alternative B, Alternative C","(9), (10), (11), (13), (15)"
1998-02-03,1998-02-04,26,3,"Alternative A, Alternative B, Alternative C","(21), (23), (24)"
1998-03-31,1998-03-31,16,8,"Alternative A, Alternative B, Alternative C","(8), (9), (10), (11), (12), (13), (14), (15)"
1998-05-19,1998-05-19,20,5,"Alternative B, Alternative C","(8), (11), (13), (14), (15)"
1998-06-30,1998-07-01,27,5,"Alternative B, Alternative C","(22), (23), (24), (25), (26)"
1998-08-18,1998-08-18,13,6,"Alternative A, Alternative B, Alternative C","(6), (7), (8), (9), (10), (12)"
1998-09-29,1998-09-29,14,4,"Alternative A, Alternative B","(7), (9), (10), (11)"
1998-11-17,1998-11-17,14,5,"Alternative A, Alternative B","(8), (9), (10), (11), (13)"
1998-12-22,1998-12-22,17,6,"Alternative A, Alternative B, Alternative C","(10), (11), (12), (13), (15), (16)"
1999-02-02,1999-02-03,26,8,"Alternative A, Alternative B, Alternative C","(7), (19), (20), (21), (22), (23), (24), (25)"
1999-03-30,1999-03-30,14,4,"Alternative B, Alternative C","(7), (8), (9), (10)"
1999-05-18,1999-05-18,14,5,"Alternative B, Alternative C","(8), (9), (10), (11), (13)"
1999-06-29,1999-06-30,26,3,"Alternative B, Alternative C","(22), (24), (25)"
1999-08-24,1999-08-24,14,5,"Alternative B, Alternative C","(8), (9), (10), (11), (13)"
1999-10-05,1999-10-05,13,3,"Alternative B, Alternative C","(7), (8), (9)"
1999-11-16,1999-11-16,16,5,"Alternative B, Alternative C","(9), (11), (12), (13), (15)"
1999-12-21,1999-12-21,14,4,"Alternative B, Alternative C","(7), (11), (12), (13)"
2000-02-01,2000-02-02,37,7,"Alternative B, Alternative C, Alternative D","(29), (30), (31), (32), (34), (35), (36)"
2000-03-21,2000-03-21,14,5,"Alternative B, Alternative C, Alternative D","(7), (9), (10), (11), (12)"
2000-05-16,2000-05-16,14,6,"Alternative C, Alternative D","(7), (8), (9), (10), (11), (12)"
2000-06-27,2000-06-28,25,4,"Alternative B, Alternative C, Alternative E","(16), (18), (20), (21)"
2000-08-22,2000-08-22,12,4,"Alternative B, Alternative C","(7), (8), (9), (10)"
2000-10-03,2000-10-03,13,4,"Alternative B, Alternative C","(7), (8), (9), (10)"
2000-11-15,2000-11-15,16,5,"Alternative A, Alternative B, Alternative C","(7), (9), (10), (12), (13)"
2000-12-19,2000-12-19,17,4,"Alternative A, Alternative B","(8), (10), (11), (12)"
2001-01-30,2001-01-31,21,4,"Alternative A, Alternative B, Alternative D","(9), (14), (16), (18)"
2001-03-20,2001-03-20,16,0,"No alternatives found","No alternatives found"
2001-05-15,2001-05-15,19,0,"No alternatives found","No alternatives found"
2001-06-26,2001-06-27,21,0,"No alternatives found","No alternatives found"
2001-08-21,2001-08-21,16,1,"Alternative A","(12)"
2001-10-02,2001-10-02,15,0,"No alternatives found","No alternatives found"
2001-11-06,2001-11-06,15,0,"No alternatives found","No alternatives found"
2001-12-11,2001-12-11,16,0,"No alternatives found","No alternatives found"
2002-01-29,2002-01-30,17,1,"Alternative D","(13)"
2002-03-19,2002-03-19,17,0,"No alternatives found","No alternatives found"
2002-05-07,2002-05-07,16,0,"No alternatives found","No alternatives found"
2002-06-25,2002-06-26,17,0,"No alternatives found","No alternatives found"
2002-08-13,2002-08-13,15,0,"No alternatives found","No alternatives found"
2002-09-24,2002-09-24,14,0,"No alternatives found","No alternatives found"
2002-11-06,2002-11-06,15,0,"No alternatives found","No alternatives found"
2002-12-10,2002-12-10,11,0,"No alternatives found","No alternatives found"
2003-01-28,2003-01-29,13,0,"No alternatives found","No alternatives found"
2003-03-18,2003-03-18,15,0,"No alternatives found","No alternatives found"
2003-05-06,2003-05-06,14,0,"No alternatives found","No alternatives found"
2003-06-24,2003-06-25,19,0,"No alternatives found","No alternatives found"
2003-08-12,2003-08-12,15,0,"No alternatives found","No alternatives found"
2003-09-16,2003-09-16,20,1,"Alternative A","(15)"
2003-10-28,2003-10-28,22,0,"No alternatives found","No alternatives found"
2003-12-09,2003-12-09,25,1,"Alternative A, Alternative C","(12)"
2004-01-27,2004-01-28,25,0,"No alternatives found","No alternatives found"
2004-03-16,2004-03-16,16,4,"Alternative A, Alternative B, Alternative C","(8), (10), (12), (14)"
2004-05-04,2004-05-04,17,6,"Alternative A, Alternative B, Alternative C","(8), (9), (10), (11), (13), (14)"
2004-06-29,2004-06-30,22,9,"Alternative A, Alternative B, Alternative C","(11), (12), (13), (14), (16), (17), (18), (19), (20)"
2004-08-10,2004-08-10,21,9,"Alternative A, Alternative B, Alternative C","(8), (9), (10), (12), (13), (15), (16), (17), (18)"
2004-09-21,2004-09-21,19,9,"Alternative A, Alternative B, Alternative C","(7), (8), (9), (10), (11), (12), (14), (15), (16)"
2004-11-10,2004-11-10,18,8,"Alternative A, Alternative B, Alternative C, Alternative D","(8), (10), (11), (12), (13), (15), (16), (18)"
2004-12-14,2004-12-14,19,8,"Alternative A, Alternative B, Alternative C","(9), (10), (11), (12), (13), (15), (16), (17)"
2005-02-01,2005-02-02,24,9,"Alternative A, Alternative B, Alternative C","(13), (14), (15), (16), (17), (18), (19), (20), (22)"
2005-03-22,2005-03-22,19,8,"Alternative A, Alternative B, Alternative C","(9), (11), (12), (13), (14), (15), (16), (17)"
2005-05-03,2005-05-03,21,10,"Alternative A, Alternative B, Alternative C","(9), (10), (12), (13), (14), (15), (16), (17), (18), (19)"
2005-06-29,2005-06-30,23,10,"Alternative A, Alternative B, Alternative C","(11), (12), (13), (14), (16), (17), (18), (19), (20), (21)"
2005-08-09,2005-08-09,20,10,"Alternative A, Alternative B, Alternative C","(9), (10), (11), (12), (13), (14), (15), (16), (17), (18)"
2005-09-20,2005-09-20,18,6,"Alternative A, Alternative B","(9), (10), (11), (13), (14), (16)"
2005-11-01,2005-11-01,17,7,"Alternative A, Alternative B, Alternative C","(9), (10), (11), (12), (13), (14), (15)"
2005-12-13,2005-12-13,19,9,"Alternative B, Alternative C","(9), (10), (11), (12), (13), (14), (15), (16), (17)"
2006-01-31,2006-01-31,23,8,"Alternative A, Alternative B, Alternative C","(13), (14), (15), (16), (17), (18), (19), (20)"
2006-03-27,2006-03-28,21,10,"Alternative A, Alternative B, Alternative C, alternative e","(9), (10), (11), (12), (13), (14), (15), (16), (17), (19)"
2006-05-10,2006-05-10,25,12,"Alternative A, Alternative B, Alternative C","(9), (12), (13), (14), (15), (16), (17), (18), (19), (20), (21), (22)"
2006-06-28,2006-06-29,25,9,"Alternative A, Alternative B, Alternative C","(12), (13), (14), (15), (16), (17), (18), (19), (20)"
2006-08-08,2006-08-08,25,12,"Alternative A, Alternative B, Alternative C, Alternative D","(12), (13), (14), (15), (16), (17), (18), (19), (20), (21), (22), (23)"
2006-09-20,2006-09-20,23,9,"Alternative A, Alternative B, Alternative C","(9), (11), (12), (14), (15), (16), (18), (19), (20)"
2006-10-24,2006-10-25,29,8,"Alternative A, Alternative B, Alternative C","(16), (17), (19), (21), (22), (24), (25), (26)"
2006-12-12,2006-12-12,22,9,"Alternative A, Alternative B, Alternative C","(10), (11), (12), (13), (14), (15), (17), (18), (19)"
2007-01-30,2007-01-31,26,11,"Alternative A, Alternative B, Alternative C","(11), (14), (15), (16), (17), (18), (19), (20), (21), (22), (23)"
2007-03-20,2007-03-21,28,11,"Alternative A, Alternative B, Alternative C","(15), (16), (17), (18), (19), (20), (21), (22), (23), (24), (25)"
2007-05-09,2007-05-09,24,8,"Alternative A, Alternative B, Alternative C","(12), (13), (14), (15), (16), (17), (19), (20)"
2007-06-27,2007-06-28,28,7,"Alternative A, Alternative B, Alternative C","(16), (17), (18), (19), (21), (23), (24)"
2007-08-07,2007-08-07,29,9,"Alternative A, Alternative B, Alternative C","(17), (18), (19), (20), (21), (22), (24), (25), (26)"
2007-09-18,2007-09-18,33,13,"Alternative A, Alternative B, Alternative C, Alternative D","(19), (20), (21), (22), (23), (24), (25), (26), (27), (28), (29), (30), (31)"
2007-10-30,2007-10-31,28,8,"Alternative A, Alternative B, Alternative C","(18), (19), (20), (22), (23), (24), (25), (26)"
2007-12-11,2007-12-11,28,8,"Alternative A, Alternative B, Alternative C","(16), (17), (18), (19), (20), (21), (23), (24)"
2008-01-29,2008-01-30,31,12,"Alternative A, Alternative B, Alternative C, Alternative D, alternative e","(16), (17), (18), (19), (20), (21), (22), (24), (25), (26), (27), (28)"
2008-03-18,2008-03-18,40,12,"Alternative A, Alternative B, Alternative C, Alternative D","(25), (26), (27), (28), (30), (31), (32), (33), (34), (35), (36), (37)"
2008-04-29,2008-04-30,34,10,"Alternative A, Alternative B, Alternative C","(22), (23), (24), (25), (26), (27), (28), (29), (30), (31)"
2008-06-24,2008-06-25,34,11,"Alternative A, Alternative B, Alternative C, Alternative D, Alternative E","(18), (21), (23), (24), (25), (26), (27), (28), (29), (30), (31)"
2008-08-05,2008-08-05,35,7,"Alternative B, Alternative C, Alternative D","(26), (27), (28), (29), (30), (31), (32)"
2008-09-16,2008-09-16,34,10,"Alternative A, Alternative B, Alternative C","(22), (23), (24), (25), (26), (27), (28), (29), (30), (31)"
2008-10-28,2008-10-29,45,9,"Alternative A, Alternative B, Alternative C","(33), (34), (35), (36), (37), (38), (40), (41), (42)"
2008-12-15,2008-12-16,52,19,"Alternative A, Alternative B, Alternative C, Alternative D","(28), (29), (30), (31), (32), (34), (35), (36), (37), (38), (40), (41), (42), (43), (44), (49), (50), (51), (52)"
2009-01-27,2009-01-28,47,6,"Alternative A, Alternative B, Alternative C","(39), (40), (41), (42), (43), (47)"
2009-03-17,2009-03-18,57,12,"Alternative A, Alternative B, Alternative C, Alternative D","(39), (40), (41), (42), (43), (44), (47), (48), (51), (52), (53), (57)"
